"player_id","web_name","first_name","second_name","id","kickoff_time","kickoff_time_formatted","team_h_score","team_a_score","was_home","round","total_points","value","transfers_balance","selected","transfers_in","transfers_out","loaned_in","loaned_out","minutes","goals_scored","assists","clean_sheets","goals_conceded","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus","bps","influence","creativity","threat","ict_index","ea_index","open_play_crosses","big_chances_created","clearances_blocks_interceptions","recoveries","key_passes","tackles","winning_goals","attempted_passes","completed_passes","penalties_conceded","big_chances_missed","errors_leading_to_goal","errors_leading_to_goal_attempt","tackled","offside","target_missed","fouls","dribbles","element","fixture","opponent_team"
1,"Cech","Petr","Cech",3196,"2018-09-29T14:00:00Z","29 Sep 15:00",2,0,TRUE,7,1,50,9392,138891,13595,4203,0,0,45,0,0,0,0,0,0,0,0,0,1,0,6,"17.2","0.0","0.0","1.7",0,0,0,1,5,0,0,0,18,7,0,0,0,0,0,0,0,0,0,1,61,18
2,"Leno","Bernd","Leno",3197,"2018-09-29T14:00:00Z","29 Sep 15:00",2,0,TRUE,7,2,48,-3790,70906,180,3970,0,0,42,0,0,0,0,0,0,0,0,0,3,0,11,"26.4","0.0","0.0","2.6",0,0,0,2,3,0,0,0,18,12,0,0,0,0,0,0,0,0,0,2,61,18
3,"Koscielny","Laurent","Koscielny",3198,"2018-09-29T14:00:00Z","29 Sep 15:00",2,0,TRUE,7,0,54,-139,5909,32,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,61,18
4,"Bellerín","Héctor","Bellerín",3199,"2018-09-29T14:00:00Z","29 Sep 15:00",2,0,TRUE,7,8,54,-3952,583056,17381,21333,0,0,90,0,0,1,0,0,0,0,0,0,0,2,28,"12.4","7.7","4.0","2.4",0,1,0,4,6,0,0,0,41,38,0,0,0,0,1,0,0,0,0,4,61,18
5,"Monreal","Nacho","Monreal",3200,"2018-09-29T14:00:00Z","29 Sep 15:00",2,0,TRUE,7,6,55,14712,129735,19891,5179,0,0,90,0,0,1,0,0,0,0,0,0,0,0,22,"13.4","16.5","12.0","4.2",0,0,0,3,3,1,0,0,61,50,0,0,0,0,2,0,1,0,0,5,61,18
6,"Holding","Rob","Holding",3201,"2018-09-29T14:00:00Z","29 Sep 15:00",2,0,TRUE,7,9,44,-516,27855,487,1003,0,0,90,0,0,1,0,0,0,0,0,0,0,3,31,"23.0","0.9","2.0","2.6",0,0,0,10,9,0,0,0,45,40,0,0,0,0,0,0,0,0,1,6,61,18
7,"Mustafi","Shkodran","Mustafi",3202,"2018-09-29T14:00:00Z","29 Sep 15:00",2,0,TRUE,7,5,54,5493,79261,8115,2622,0,0,90,0,0,1,0,0,0,0,1,0,0,0,18,"14.6","0.8","11.0","2.6",0,0,0,9,4,0,0,0,52,40,0,0,0,0,0,0,1,3,0,7,61,18
8,"Kolasinac","Sead","Kolasinac",3203,"2018-09-29T14:00:00Z","29 Sep 15:00",2,0,TRUE,7,0,49,-332,15953,149,481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,61,18
9,"Chambers","Calum","Chambers",3204,"2018-09-29T14:00:00Z","29 Sep 15:00",3,0,FALSE,7,0,44,-2832,63342,522,3354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,65,8
10,"Mavropanos","Konstantinos","Mavropanos",3205,"2018-09-29T14:00:00Z","29 Sep 15:00",2,0,TRUE,7,0,48,-579,7198,62,641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,61,18
