"player_id","web_name","first_name","second_name","id","kickoff_time","kickoff_time_formatted","team_h_score","team_a_score","was_home","round","total_points","value","transfers_balance","selected","transfers_in","transfers_out","loaned_in","loaned_out","minutes","goals_scored","assists","clean_sheets","goals_conceded","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus","bps","influence","creativity","threat","ict_index","ea_index","open_play_crosses","big_chances_created","clearances_blocks_interceptions","recoveries","key_passes","tackles","winning_goals","attempted_passes","completed_passes","penalties_conceded","big_chances_missed","errors_leading_to_goal","errors_leading_to_goal_attempt","tackled","offside","target_missed","fouls","dribbles","element","fixture","opponent_team"
1,"Cech","Petr","Cech",1053,"2018-08-25T14:00:00Z","25 Aug 15:00",3,1,TRUE,3,3,50,8540,107301,19550,11010,0,0,90,0,0,0,1,0,0,0,0,0,4,0,17,"27.8","0.0","0.0","2.8",0,0,0,0,10,0,0,0,24,20,0,0,0,0,0,0,0,0,0,1,21,19
2,"Leno","Bernd","Leno",1054,"2018-08-25T14:00:00Z","25 Aug 15:00",3,1,TRUE,3,0,49,-17771,92305,1103,18874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,21,19
3,"Koscielny","Laurent","Koscielny",1055,"2018-08-25T14:00:00Z","25 Aug 15:00",3,1,TRUE,3,0,55,-900,6226,74,974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,21,19
4,"Bellerín","Héctor","Bellerín",1056,"2018-08-25T14:00:00Z","25 Aug 15:00",3,1,TRUE,3,5,55,-69594,654173,35884,105478,0,0,90,0,1,0,1,0,0,0,0,0,0,0,25,"28.6","22.3","6.0","5.7",0,1,1,6,4,1,1,0,49,40,0,0,0,1,1,1,0,2,0,4,21,19
5,"Monreal","Nacho","Monreal",1057,"2018-08-25T14:00:00Z","25 Aug 15:00",3,1,TRUE,3,10,55,7407,46967,13108,5701,0,0,90,1,0,0,1,0,0,0,0,0,0,2,27,"44.4","2.9","37.0","8.4",0,0,0,2,3,0,1,0,42,38,0,0,0,0,0,1,0,0,0,5,21,19
6,"Holding","Rob","Holding",1058,"2018-08-25T14:00:00Z","25 Aug 15:00",3,1,TRUE,3,0,45,-4118,31627,658,4776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,21,19
7,"Mustafi","Shkodran","Mustafi",1059,"2018-08-25T14:00:00Z","25 Aug 15:00",3,1,TRUE,3,2,55,-8592,64320,2074,10666,0,0,90,0,0,0,1,0,0,0,0,0,0,0,20,"37.2","0.8","21.0","5.9",0,0,0,15,3,0,1,0,52,47,0,0,0,0,0,0,1,1,0,7,21,19
8,"Kolasinac","Sead","Kolasinac",1060,"2018-08-25T14:00:00Z","25 Aug 15:00",3,1,TRUE,3,0,49,-4863,19874,105,4968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,21,19
9,"Chambers","Calum","Chambers",1061,"2018-08-26T15:00:00Z","26 Aug 16:00",4,2,TRUE,3,1,45,-8208,87095,2845,11053,0,0,18,0,0,0,0,0,0,0,0,0,0,0,6,"8.0","0.0","0.0","0.8",0,0,0,3,2,0,1,0,11,9,0,0,0,0,0,0,0,0,0,9,23,4
10,"Mavropanos","Konstantinos","Mavropanos",1062,"2018-08-25T14:00:00Z","25 Aug 15:00",3,1,TRUE,3,0,49,-1632,9312,199,1831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,21,19
11,"Lichtsteiner","Stephan","Lichtsteiner",1063,"2018-08-25T14:00:00Z","25 Aug 15:00",3,1,TRUE,3,0,49,-23933,95453,2151,26084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,21,19
12,"Sokratis","Sokratis","Papastathopoulos",1064,"2018-08-25T14:00:00Z","25 Aug 15:00",3,1,TRUE,3,1,54,-15011,109545,3385,18396,0,0,90,0,0,0,1,0,0,0,1,0,0,0,10,"17.8","0.2","0.0","1.8",0,0,0,7,5,0,0,0,44,37,0,0,0,0,0,0,0,1,0,12,21,19
13,"Özil","Mesut","Özil",1065,"2018-08-25T14:00:00Z","25 Aug 15:00",3,1,TRUE,3,0,84,-41534,201485,10515,52049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,21,19
