"id","name","code","short_name","unavailable","strength","position","played","win","loss","draw","points","form","link_url","strength_overall_home","strength_overall_away","strength_attack_home","strength_attack_away","strength_defence_home","strength_defence_away","team_division","is_home","day","event_day","month","id2","opponent","is_home1","day1","event_day1","month1","id1","opponent1"
1,"Arsenal",3,"ARS",FALSE,4,0,0,0,0,0,0,NA,"",1250,1320,1230,1280,1270,1320,1,TRUE,23,2,9,51,"EVE",TRUE,29,1,9,61,"WAT"
2,"Bournemouth",91,"BOU",FALSE,3,0,0,0,0,0,0,NA,"",1110,1150,1080,1120,1120,1170,1,FALSE,22,1,9,53,"BUR",TRUE,1,3,10,62,"CRY"
3,"Brighton",36,"BHA",FALSE,2,0,0,0,0,0,0,NA,"",1040,1100,1040,1070,1030,1100,1,TRUE,22,1,9,52,"TOT",FALSE,29,1,9,67,"MCI"
4,"Burnley",90,"BUR",FALSE,2,0,0,0,0,0,0,NA,"",1060,1080,1110,1150,1040,1090,1,TRUE,22,1,9,53,"BOU",FALSE,30,2,9,63,"CAR"
5,"Cardiff",97,"CAR",FALSE,2,0,0,0,0,0,0,NA,"",1020,1080,1010,1070,1000,1070,1,TRUE,22,1,9,54,"MCI",TRUE,30,2,9,63,"BUR"
6,"Chelsea",8,"CHE",FALSE,4,0,0,0,0,0,0,NA,"",1300,1310,1260,1290,1300,1320,1,FALSE,23,2,9,60,"WHU",TRUE,29,1,9,64,"LIV"
7,"Crystal Palace",31,"CRY",FALSE,3,0,0,0,0,0,0,NA,"",1090,1110,1050,1100,1070,1110,1,TRUE,22,1,9,55,"NEW",FALSE,1,3,10,62,"BOU"
8,"Everton",11,"EVE",FALSE,3,0,0,0,0,0,0,NA,"",1080,1140,1060,1110,1060,1130,1,FALSE,23,2,9,51,"ARS",TRUE,29,1,9,65,"FUL"
9,"Fulham",54,"FUL",FALSE,2,0,0,0,0,0,0,NA,"",1030,1080,1010,1060,1040,1090,1,TRUE,22,1,9,56,"WAT",FALSE,29,1,9,65,"EVE"
10,"Huddersfield",38,"HUD",FALSE,2,0,0,0,0,0,0,NA,"",1020,1050,1020,1060,980,1020,1,FALSE,22,1,9,57,"LEI",TRUE,29,1,9,66,"TOT"
11,"Leicester",13,"LEI",FALSE,3,0,0,0,0,0,0,NA,"",1100,1140,1100,1180,1090,1140,1,TRUE,22,1,9,57,"HUD",FALSE,29,1,9,68,"NEW"
12,"Liverpool",14,"LIV",FALSE,5,0,0,0,0,0,0,NA,"",1330,1340,1290,1320,1320,1340,1,TRUE,22,1,9,58,"SOU",FALSE,29,1,9,64,"CHE"
13,"Man City",43,"MCI",FALSE,5,0,0,0,0,0,0,NA,"",1340,1350,1300,1320,1330,1350,1,FALSE,22,1,9,54,"CAR",TRUE,29,1,9,67,"BHA"
14,"Man Utd",1,"MUN",FALSE,4,0,0,0,0,0,0,NA,"",1300,1310,1260,1300,1280,1310,1,TRUE,22,1,9,59,"WOL",FALSE,29,1,9,69,"WHU"
15,"Newcastle",4,"NEW",FALSE,3,0,0,0,0,0,0,NA,"",1080,1130,1060,1110,1040,1090,1,FALSE,22,1,9,55,"CRY",TRUE,29,1,9,68,"LEI"
16,"Southampton",20,"SOU",FALSE,3,0,0,0,0,0,0,NA,"",1050,1100,1030,1080,1070,1120,1,FALSE,22,1,9,58,"LIV",FALSE,29,1,9,70,"WOL"
17,"Spurs",6,"TOT",FALSE,5,0,0,0,0,0,0,NA,"",1320,1330,1280,1300,1310,1330,1,FALSE,22,1,9,52,"BHA",FALSE,29,1,9,66,"HUD"
18,"Watford",57,"WAT",FALSE,3,0,0,0,0,0,0,NA,"",1100,1140,1090,1190,1080,1150,1,FALSE,22,1,9,56,"FUL",FALSE,29,1,9,61,"ARS"
19,"West Ham",21,"WHU",FALSE,3,0,0,0,0,0,0,NA,"",1070,1090,1030,1070,1080,1110,1,TRUE,23,2,9,60,"CHE",TRUE,29,1,9,69,"MUN"
20,"Wolves",39,"WOL",FALSE,3,0,0,0,0,0,0,NA,"",1050,1110,1080,1120,1030,1090,1,FALSE,22,1,9,59,"MUN",TRUE,29,1,9,70,"SOU"
