"id","photo","web_name","team_code","status","code","first_name","second_name","squad_number","news","now_cost","news_added","chance_of_playing_this_round","chance_of_playing_next_round","value_form","value_season","cost_change_start","cost_change_event","cost_change_start_fall","cost_change_event_fall","in_dreamteam","dreamteam_count","selected_by_percent","form","transfers_out","transfers_in","transfers_out_event","transfers_in_event","loans_in","loans_out","loaned_in","loaned_out","total_points","event_points","points_per_game","ep_this","ep_next","special","minutes","goals_scored","assists","clean_sheets","goals_conceded","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus","bps","influence","creativity","threat","ict_index","ea_index","element_type","team"
1,"11334.jpg","Cech",3,"a",11334,"Petr","Cech",1,"",50,NA,NA,NA,"0.9","4.6",0,0,0,0,FALSE,0,"2.4","4.7",49784,71841,3629,11470,0,0,0,0,23,11,"3.8","5.2","5.2",FALSE,540,0,0,1,9,0,0,0,0,0,26,3,124,"187.8","0.0","0.0","18.7",0,"GKP","ARS"
2,"80201.jpg","Leno",3,"a",80201,"Bernd","Leno",19,"",48,NA,NA,NA,"0.0","0.0",-2,0,2,0,FALSE,0,"1.3","0.0",63240,4737,3509,170,0,0,0,0,0,0,"0.0","0.5","0.5",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"GKP","ARS"
3,"51507.jpg","Koscielny",3,"i",51507,"Laurent","Koscielny",6,"Achilles injury - Expected back 11 Nov",54,"2018-07-05T14:31:07Z",0,0,"0.0","0.0",-1,0,1,0,FALSE,0,"0.1","0.0",3588,386,150,30,0,0,0,0,0,0,"0.0","0.0","0.0",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"DEF","ARS"
4,"98745.jpg","Bellerín",3,"a",98745,"Héctor","Bellerín",2,"",54,NA,NA,NA,"0.5","2.8",-1,0,1,0,FALSE,0,"10.3","2.7",367359,134484,18320,14343,0,0,0,0,15,6,"2.5","3.2","3.2",FALSE,540,0,1,1,9,0,0,0,1,0,0,0,103,"107.0","73.5","77.0","25.8",0,"DEF","ARS"
5,"38411.jpg","Monreal",3,"a",38411,"Nacho","Monreal",18,"",55,"2018-08-05T10:31:10Z",100,100,"0.5","3.5",0,0,0,0,FALSE,1,"2.2","2.7",55205,113628,4405,15971,0,0,0,0,19,6,"3.8","3.2","3.2",FALSE,450,1,0,1,7,0,0,0,1,0,0,2,82,"111.8","45.3","145.0","30.2",0,"DEF","ARS"
6,"156074.jpg","Holding",3,"a",156074,"Rob","Holding",16,"",44,NA,NA,NA,"0.1","0.2",-1,0,1,0,FALSE,0,"0.5","0.3",16911,3148,899,439,0,0,0,0,1,1,"1.0","0.8","0.8",FALSE,51,0,0,0,0,0,0,0,0,0,0,0,9,"12.0","0.5","0.0","1.3",0,"DEF","ARS"
7,"69140.jpg","Mustafi",3,"a",69140,"Shkodran","Mustafi",20,"",54,NA,NA,NA,"1.0","3.5",-1,0,1,0,FALSE,0,"1.4","5.3",33997,23005,2269,6547,0,0,0,0,19,6,"3.2","5.8","5.8",FALSE,540,1,0,1,9,0,0,0,1,0,0,1,117,"186.4","30.5","80.0","29.8",0,"DEF","ARS"
8,"111457.jpg","Kolasinac",3,"a",111457,"Sead","Kolasinac",31,"",49,"2018-08-02T07:01:09Z",0,100,"0.0","0.0",-1,0,1,0,FALSE,0,"0.3","0.0",19586,597,449,121,0,0,0,0,0,0,"0.0","0.0","0.5",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"DEF","ARS"
10,"233963.jpg","Mavropanos",3,"i",233963,"Konstantinos","Mavropanos",27,"Groin Injury - Expected back 28 Oct",48,"2018-09-25T09:01:13Z",NA,0,"0.0","0.0",-2,0,2,0,FALSE,0,"0.1","0.0",7165,921,548,60,0,0,0,0,0,0,"0.0","0.5","0.0",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"DEF","ARS"
11,"27335.jpg","Lichtsteiner",3,"a",27335,"Stephan","Lichtsteiner",12,"",47,NA,NA,NA,"0.0","0.2",-3,0,3,0,FALSE,0,"1.1","0.0",81208,9124,3867,398,0,0,0,0,1,0,"1.0","0.5","0.5",FALSE,55,0,0,0,1,0,0,0,0,0,0,0,0,"1.0","5.8","2.0","0.9",0,"DEF","ARS"
12,"39476.jpg","Sokratis",3,"a",39476,"Sokratis","Papastathopoulos",5,"",53,"2018-09-23T16:01:13Z",NA,100,"0.2","0.9",-2,0,2,0,FALSE,0,"1.4","1.0",74869,10445,8552,582,0,0,0,0,5,0,"0.8","1.5","1.5",FALSE,488,0,0,0,9,0,0,0,3,0,0,0,60,"92.2","12.1","6.0","11.1",0,"DEF","ARS"
13,"37605.jpg","Özil",3,"a",37605,"Mesut","Özil",10,"",83,NA,NA,NA,"0.6","2.3",-2,0,2,0,FALSE,0,"3.0","5.0",175223,59364,8567,10640,0,0,0,0,19,3,"3.8","5.5","5.5",FALSE,420,1,0,1,7,0,0,0,0,0,0,3,66,"82.2","122.9","55.0","26.0",0,"MID","ARS"
14,"41792.jpg","Ramsey",3,"a",41792,"Aaron","Ramsey",8,"",74,"2018-08-02T07:01:09Z",100,100,"0.6","2.4",-1,0,1,0,FALSE,0,"1.4","4.7",49351,50846,4787,17174,0,0,0,0,18,9,"3.0","5.2","5.2",FALSE,413,0,2,2,5,0,0,0,0,0,0,0,79,"106.6","166.2","131.0","40.4",0,"MID","ARS"
15,"153133.jpg","Iwobi",3,"a",153133,"Alex","Iwobi",17,"",55,"2018-09-03T09:01:13Z",100,100,"0.1","2.2",0,0,0,0,FALSE,0,"1.0","0.3",86232,84563,7299,1095,0,0,0,0,12,1,"4.0","0.8","0.8",FALSE,140,1,1,0,3,0,0,0,0,0,0,0,49,"64.2","50.1","35.0","14.9",0,"MID","ARS"
16,"153256.jpg","Elneny",3,"a",153256,"Mohamed","Elneny",4,"",43,NA,NA,NA,"0.0","0.0",-2,-1,2,1,FALSE,0,"2.4","0.0",84280,37616,7362,10767,0,0,0,0,0,0,"0.0","0.5","0.5",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"MID","ARS"
17,"84450.jpg","Xhaka",3,"a",84450,"Granit","Xhaka",34,"",53,NA,NA,NA,"1.0","3.6",-2,0,2,0,FALSE,0,"3.2","5.3",131606,59679,8533,12780,0,0,0,0,19,3,"3.2","5.8","5.8",FALSE,474,1,1,1,8,0,0,0,3,0,0,2,91,"125.2","103.5","24.0","25.3",0,"MID","ARS"
18,"57249.jpg","Mkhitaryan",3,"a",57249,"Henrikh","Mkhitaryan",7,"",70,"2018-09-21T11:31:13Z",75,100,"0.1","2.5",0,-1,0,1,FALSE,1,"8.2","0.7",988271,708596,128406,2452,0,0,0,0,18,0,"3.6","0.9","1.2",FALSE,292,1,1,0,7,0,0,0,0,0,0,2,59,"85.8","91.8","126.0","30.3",0,"MID","ARS"
19,"200641.jpg","Nelson",3,"u",200641,"Reiss","Nelson",48,"Season-long loan to Hoffenheim",44,"2018-09-02T07:29:58Z",0,0,"0.0","0.0",-1,0,1,0,FALSE,0,"0.5","0.0",25719,3985,1505,19,0,0,0,0,0,0,"0.0","0.0","0.0",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"MID","ARS"
20,"154043.jpg","Maitland-Niles",3,"i",154043,"Ainsley","Maitland-Niles",15,"Leg injury - Expected back 22 Oct",44,"2018-08-12T16:01:12Z",0,0,"0.0","0.2",-1,0,1,0,FALSE,0,"0.3","0.0",23297,3635,897,157,0,0,0,0,1,0,"1.0","0.0","0.0",FALSE,34,0,0,0,1,0,0,0,0,0,0,0,7,"10.8","10.3","0.0","2.1",0,"MID","ARS"
21,"50175.jpg","Welbeck",3,"a",50175,"Danny","Welbeck",23,"",65,"2018-08-10T14:01:12Z",100,100,"0.2","1.7",0,0,0,0,FALSE,0,"0.7","1.0",26051,20021,3003,2008,0,0,0,0,11,1,"2.8","1.5","1.5",FALSE,41,1,0,0,1,0,0,0,0,0,0,3,35,"41.6","12.8","58.0","11.2",0,"FWD","ARS"
22,"59966.jpg","Lacazette",3,"a",59966,"Alexandre","Lacazette",9,"",95,NA,NA,NA,"0.9","3.3",0,1,0,-1,FALSE,1,"6.1","8.3",178163,262750,11893,95092,0,0,0,0,31,8,"5.2","8.8","8.8",FALSE,366,2,3,1,5,0,0,0,0,0,0,5,96,"132.2","101.9","197.0","42.8",0,"FWD","ARS"
23,"54694.jpg","Aubameyang",3,"a",54694,"Pierre-Emerick","Aubameyang",14,"",108,NA,NA,NA,"0.6","2.4",-2,-1,2,1,FALSE,0,"11.1","6.7",623149,210414,31745,16627,0,0,0,0,26,7,"4.3","7.2","7.2",FALSE,478,2,1,2,8,0,0,0,0,0,0,3,90,"99.6","98.3","133.0","33.1",0,"FWD","ARS"
450,"198849.jpg","Torreira",3,"a",198849,"Lucas","Torreira",11,"",49,"2018-09-23T14:31:13Z",75,100,"0.5","2.0",-1,0,1,0,FALSE,0,"1.4","2.3",60510,27778,3963,4440,0,0,0,0,10,2,"1.7","2.1","2.8",FALSE,254,0,1,1,2,0,0,0,1,0,0,0,55,"62.8","36.9","11.0","11.1",0,"MID","ARS"
451,"242166.jpg","Guendouzi",3,"a",242166,"Matteo","Guendouzi",29,"",45,NA,NA,NA,"0.2","1.6",0,0,0,0,FALSE,0,"2.9","0.7",114895,178479,15200,2149,0,0,0,0,7,0,"1.4","1.2","1.2",FALSE,349,0,0,0,8,0,0,0,1,0,0,0,69,"66.2","37.2","16.0","11.9",0,"MID","ARS"
24,"40349.jpg","Begovic",91,"a",40349,"Asmir","Begovic",27,"",45,NA,NA,NA,"0.3","3.1",0,0,0,0,FALSE,0,"4.6","1.3",82527,75571,9319,1694,0,0,0,0,14,0,"2.3","1.8","1.3",FALSE,540,0,0,1,11,0,0,0,0,0,16,0,89,"117.0","0.0","0.0","11.8",0,"GKP","BOU"
25,"18726.jpg","Boruc",91,"a",18726,"Artur","Boruc",1,"",40,NA,NA,NA,"0.0","0.0",0,0,0,0,FALSE,0,"6.5","0.0",82764,46322,6526,2930,0,0,0,0,0,0,"0.0","0.5","0.0",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"GKP","BOU"
26,"15149.jpg","Francis",91,"a",15149,"Simon","Francis",2,"",44,NA,NA,NA,"0.1","1.4",-1,0,1,0,FALSE,0,"0.3","0.3",13207,4730,1160,195,0,0,0,0,6,0,"1.2","0.8","0.3",FALSE,192,0,1,0,6,0,0,0,0,0,0,0,47,"79.2","25.6","8.0","11.3",0,"DEF","BOU"
27,"56917.jpg","Steve Cook",91,"a",56917,"Steve","Cook",3,"",46,NA,NA,NA,"0.2","5.0",1,0,-1,0,FALSE,1,"9.2","0.7",206905,556496,35296,6907,0,0,0,0,23,0,"3.8","1.2","0.7",FALSE,540,1,1,1,11,0,0,0,0,0,0,3,124,"198.2","13.2","58.0","26.9",0,"DEF","BOU"
28,"41320.jpg","Daniels",91,"d",41320,"Charlie","Daniels",11,"Knee injury - 75% chance of playing",43,"2018-09-03T16:01:13Z",25,75,"0.0","1.8",-2,-1,2,1,FALSE,0,"6.6","0.0",543757,47457,48565,207,0,0,0,0,8,0,"2.7","0.1","0.0",FALSE,270,0,0,1,3,0,0,0,1,0,0,0,42,"48.8","34.9","8.0","9.1",0,"DEF","BOU"
29,"54469.jpg","Adam Smith",91,"a",54469,"Adam","Smith",15,"",45,NA,NA,NA,"0.7","3.6",0,0,0,0,FALSE,0,"0.8","3.3",22123,30788,2098,1768,0,0,0,0,16,1,"2.7","3.8","3.3",FALSE,486,1,0,1,8,0,0,0,0,1,0,0,86,"100.6","28.5","35.0","16.4",0,"DEF","BOU"
30,"149484.jpg","Mings",91,"a",149484,"Tyrone","Mings",26,"",44,NA,NA,NA,"0.0","0.0",-1,0,1,0,FALSE,0,"0.1","0.0",4742,623,291,32,0,0,0,0,0,0,"0.0","0.5","0.0",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"DEF","BOU"
31,"126184.jpg","Aké",91,"a",126184,"Nathan","Aké",5,"",50,"2018-08-05T11:01:10Z",100,100,"0.1","4.0",0,0,0,0,FALSE,0,"4.5","0.7",85732,99358,13788,3865,0,0,0,0,20,0,"3.3","1.2","0.7",FALSE,540,1,0,1,11,0,0,0,0,0,0,3,97,"148.8","7.6","66.0","22.2",0,"DEF","BOU"
32,"222434.jpg","Simpson",91,"a",222434,"Jack","Simpson",25,"",39,NA,NA,NA,"0.0","0.0",-1,0,1,0,FALSE,0,"4.5","0.0",108201,37614,7587,3852,0,0,0,0,0,0,"0.0","0.5","0.0",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"DEF","BOU"
34,"20037.jpg","Pugh",91,"a",20037,"Marc","Pugh",7,"",44,"2018-08-29T15:31:12Z",100,100,"0.0","0.0",-1,0,1,0,FALSE,0,"0.4","0.0",18739,3119,758,305,0,0,0,0,0,0,"0.0","0.5","0.0",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"MID","BOU"
35,"15237.jpg","Surman",91,"a",15237,"Andrew","Surman",6,"",48,NA,NA,NA,"0.1","1.9",-2,-1,2,1,FALSE,0,"0.2","0.7",14961,5724,1002,270,0,0,0,0,9,2,"2.3","1.2","0.7",FALSE,345,0,0,1,7,0,0,0,0,0,0,0,49,"45.0","43.9","15.0","10.4",0,"MID","BOU"
