"player_id","web_name","first_name","second_name","id","kickoff_time_formatted","event_name","opponent_name","opponent_short_name","is_home","difficulty","code","kickoff_time","team_h_score","team_a_score","finished","minutes","provisional_start_time","finished_provisional","event","team_a","team_h"
1,"Cech","Petr","Cech",311,"01 Apr 20:00","Gameweek 32","Newcastle","NEW",TRUE,2,987902,"2019-04-01T19:00:00Z",NA,NA,FALSE,0,FALSE,FALSE,32,15,1
2,"Leno","Bernd","Leno",311,"01 Apr 20:00","Gameweek 32","Newcastle","NEW",TRUE,2,987902,"2019-04-01T19:00:00Z",NA,NA,FALSE,0,FALSE,FALSE,32,15,1
3,"Koscielny","Laurent","Koscielny",311,"01 Apr 20:00","Gameweek 32","Newcastle","NEW",TRUE,2,987902,"2019-04-01T19:00:00Z",NA,NA,FALSE,0,FALSE,FALSE,32,15,1
4,"Bellerín","Héctor","Bellerín",311,"01 Apr 20:00","Gameweek 32","Newcastle","NEW",TRUE,2,987902,"2019-04-01T19:00:00Z",NA,NA,FALSE,0,FALSE,FALSE,32,15,1
5,"Monreal","Nacho","Monreal",311,"01 Apr 20:00","Gameweek 32","Newcastle","NEW",TRUE,2,987902,"2019-04-01T19:00:00Z",NA,NA,FALSE,0,FALSE,FALSE,32,15,1
6,"Holding","Rob","Holding",311,"01 Apr 20:00","Gameweek 32","Newcastle","NEW",TRUE,2,987902,"2019-04-01T19:00:00Z",NA,NA,FALSE,0,FALSE,FALSE,32,15,1
7,"Mustafi","Shkodran","Mustafi",311,"01 Apr 20:00","Gameweek 32","Newcastle","NEW",TRUE,2,987902,"2019-04-01T19:00:00Z",NA,NA,FALSE,0,FALSE,FALSE,32,15,1
8,"Kolasinac","Sead","Kolasinac",311,"01 Apr 20:00","Gameweek 32","Newcastle","NEW",TRUE,2,987902,"2019-04-01T19:00:00Z",NA,NA,FALSE,0,FALSE,FALSE,32,15,1
9,"Chambers","Calum","Chambers",316,"30 Mar 12:30","Gameweek 32","Man City","MCI",TRUE,4,987907,"2019-03-30T12:30:00Z",NA,NA,FALSE,0,FALSE,FALSE,32,13,9
10,"Mavropanos","Konstantinos","Mavropanos",311,"01 Apr 20:00","Gameweek 32","Newcastle","NEW",TRUE,2,987902,"2019-04-01T19:00:00Z",NA,NA,FALSE,0,FALSE,FALSE,32,15,1
11,"Lichtsteiner","Stephan","Lichtsteiner",311,"01 Apr 20:00","Gameweek 32","Newcastle","NEW",TRUE,2,987902,"2019-04-01T19:00:00Z",NA,NA,FALSE,0,FALSE,FALSE,32,15,1
12,"Sokratis","Sokratis","Papastathopoulos",311,"01 Apr 20:00","Gameweek 32","Newcastle","NEW",TRUE,2,987902,"2019-04-01T19:00:00Z",NA,NA,FALSE,0,FALSE,FALSE,32,15,1
13,"Özil","Mesut","Özil",311,"01 Apr 20:00","Gameweek 32","Newcastle","NEW",TRUE,2,987902,"2019-04-01T19:00:00Z",NA,NA,FALSE,0,FALSE,FALSE,32,15,1
14,"Ramsey","Aaron","Ramsey",311,"01 Apr 20:00","Gameweek 32","Newcastle","NEW",TRUE,2,987902,"2019-04-01T19:00:00Z",NA,NA,FALSE,0,FALSE,FALSE,32,15,1
15,"Iwobi","Alex","Iwobi",311,"01 Apr 20:00","Gameweek 32","Newcastle","NEW",TRUE,2,987902,"2019-04-01T19:00:00Z",NA,NA,FALSE,0,FALSE,FALSE,32,15,1
16,"Elneny","Mohamed","Elneny",311,"01 Apr 20:00","Gameweek 32","Newcastle","NEW",TRUE,2,987902,"2019-04-01T19:00:00Z",NA,NA,FALSE,0,FALSE,FALSE,32,15,1
