"id","photo","web_name","team_code","status","code","first_name","second_name","squad_number","news","now_cost","news_added","chance_of_playing_this_round","chance_of_playing_next_round","value_form","value_season","cost_change_start","cost_change_event","cost_change_start_fall","cost_change_event_fall","in_dreamteam","dreamteam_count","selected_by_percent","form","transfers_out","transfers_in","transfers_out_event","transfers_in_event","loans_in","loans_out","loaned_in","loaned_out","total_points","event_points","points_per_game","ep_this","ep_next","special","minutes","goals_scored","assists","clean_sheets","goals_conceded","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus","bps","influence","creativity","threat","ict_index","ea_index","element_type","team"
1,"11334.jpg","Cech",3,"a",11334,"Petr","Cech",1,"",50,NA,NA,NA,"0.6","1.8",0,0,0,0,FALSE,0,"2.2","3.0",23994,37592,7113,11983,0,0,0,0,9,3,"3.0","3.5","4.0",FALSE,270,0,0,0,6,0,0,0,0,0,18,0,67,"127.8","0.0","0.0","12.8",0,"GKP","ARS"
2,"80201.jpg","Leno",3,"a",80201,"Bernd","Leno",19,"",49,NA,NA,NA,"0.0","0.0",-1,0,1,0,FALSE,0,"1.6","0.0",44967,3349,9866,389,0,0,0,0,0,0,"0.0","0.5","1.0",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"GKP","ARS"
3,"51507.jpg","Koscielny",3,"i",51507,"Laurent","Koscielny",6,"Achilles injury - Expected back 11 Nov",55,"2018-07-05T14:31:07Z",0,0,"0.0","0.0",0,0,0,0,FALSE,0,"0.1","0.0",2749,237,476,43,0,0,0,0,0,0,"0.0","0.0","0.0",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"DEF","ARS"
4,"98745.jpg","Bellerín",3,"a",98745,"Héctor","Bellerín",2,"",55,NA,NA,NA,"0.4","1.3",0,0,0,0,FALSE,0,"12.3","2.3",213264,78463,32172,29903,0,0,0,0,7,5,"2.3","2.8","3.3",FALSE,270,0,1,0,6,0,0,0,0,0,0,0,58,"72.8","50.8","33.0","15.7",0,"DEF","ARS"
5,"38411.jpg","Monreal",3,"a",38411,"Nacho","Monreal",18,"",55,"2018-08-05T10:31:10Z",100,100,"0.7","2.0",0,0,0,0,FALSE,1,"1.7","3.7",22089,53800,6425,40285,0,0,0,0,11,10,"5.5","4.2","4.7",FALSE,180,1,0,0,4,0,0,0,0,0,0,2,41,"59.6","19.1","59.0","13.7",0,"DEF","ARS"
6,"156074.jpg","Holding",3,"a",156074,"Rob","Holding",16,"",44,NA,NA,NA,"0.0","0.0",-1,-1,1,1,FALSE,0,"0.6","0.0",11786,2140,2586,300,0,0,0,0,0,0,"0.0","0.5","1.0",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"DEF","ARS"
7,"69140.jpg","Mustafi",3,"a",69140,"Shkodran","Mustafi",20,"",54,NA,NA,NA,"0.2","0.6",-1,-1,1,1,FALSE,0,"1.2","1.0",22761,5324,4715,1539,0,0,0,0,3,2,"1.0","1.5","2.0",FALSE,270,0,0,0,6,0,0,0,1,0,0,0,47,"94.2","11.2","38.0","14.4",0,"DEF","ARS"
8,"111457.jpg","Kolasinac",3,"i",111457,"Sead","Kolasinac",31,"Knee injury - Expected back 07 Oct",49,"2018-08-02T07:01:09Z",0,0,"0.0","0.0",-1,0,1,0,FALSE,0,"0.3","0.0",16445,359,1975,45,0,0,0,0,0,0,"0.0","0.0","0.0",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"DEF","ARS"
10,"233963.jpg","Mavropanos",3,"a",233963,"Konstantinos","Mavropanos",27,"",49,NA,NA,NA,"0.0","0.0",-1,0,1,0,FALSE,0,"0.2","0.0",4960,662,1069,82,0,0,0,0,0,0,"0.0","0.5","1.0",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"DEF","ARS"
11,"27335.jpg","Lichtsteiner",3,"a",27335,"Stephan","Lichtsteiner",12,"",49,NA,NA,NA,"0.1","0.2",-1,0,1,0,FALSE,0,"1.5","0.3",55442,7571,14430,608,0,0,0,0,1,0,"1.0","0.8","1.3",FALSE,55,0,0,0,1,0,0,0,0,0,0,0,0,"1.0","5.8","2.0","0.9",0,"DEF","ARS"
