"id","photo","web_name","team_code","status","code","first_name","second_name","squad_number","news","now_cost","news_added","chance_of_playing_this_round","chance_of_playing_next_round","value_form","value_season","cost_change_start","cost_change_event","cost_change_start_fall","cost_change_event_fall","in_dreamteam","dreamteam_count","selected_by_percent","form","transfers_out","transfers_in","transfers_out_event","transfers_in_event","loans_in","loans_out","loaned_in","loaned_out","total_points","event_points","points_per_game","ep_this","ep_next","special","minutes","goals_scored","assists","clean_sheets","goals_conceded","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus","bps","influence","creativity","threat","ict_index","ea_index","element_type","team"
1,"11334.jpg","Cech",3,"i",11334,"Petr","Cech",1,"Hamstring injury - Expected back 03 Nov",50,"2018-09-29T17:31:14Z",0,0,"0.7","4.8",0,0,0,0,FALSE,0,"1.8","3.5",88899,75017,8707,127,0,0,0,0,24,0,"3.4","0.0","0.0",FALSE,585,0,0,1,9,0,0,0,0,0,27,3,130,"205.0","0.0","0.0","20.4",0,"GKP","ARS"
2,"80201.jpg","Leno",3,"a",80201,"Bernd","Leno",19,"",48,NA,NA,NA,"0.3","1.0",-2,0,2,0,FALSE,0,"1.5","1.3",66697,21802,1148,3676,0,0,0,0,5,3,"2.5","2.3","1.8",FALSE,135,0,0,0,1,0,0,0,0,0,6,0,30,"48.0","0.0","0.0","4.8",0,"GKP","ARS"
3,"51507.jpg","Koscielny",3,"i",51507,"Laurent","Koscielny",6,"Achilles injury - Expected back 11 Nov",54,"2018-07-05T14:31:07Z",0,0,"0.0","0.0",-1,0,1,0,FALSE,0,"0.1","0.0",3797,433,62,13,0,0,0,0,0,0,"0.0","0.0","0.0",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"DEF","ARS"
4,"98745.jpg","Bellerín",3,"a",98745,"Héctor","Bellerín",2,"",54,NA,NA,NA,"1.0","5.2",-1,0,1,0,FALSE,0,"10.5","5.3",390772,169956,6890,12026,0,0,0,0,28,5,"3.5","6.3","5.8",FALSE,720,0,2,2,10,0,0,0,1,0,0,2,156,"154.8","101.0","100.0","35.6",0,"DEF","ARS"
5,"38411.jpg","Monreal",3,"a",38411,"Nacho","Monreal",18,"",55,"2018-08-05T10:31:10Z",100,100,"0.9","5.5",0,0,0,0,FALSE,1,"2.5","4.8",64062,137661,2618,7061,0,0,0,0,30,5,"4.3","5.8","5.3",FALSE,630,1,1,2,8,0,0,0,1,0,0,2,124,"149.2","75.1","161.0","38.5",0,"DEF","ARS"
6,"156074.jpg","Holding",3,"a",156074,"Rob","Holding",16,"",44,NA,NA,NA,"0.7","2.7",-1,0,1,0,FALSE,0,"0.6","3.0",18366,8413,531,1321,0,0,0,0,12,2,"4.0","4.0","3.5",FALSE,231,0,0,1,1,0,0,0,0,0,0,3,55,"58.0","1.4","2.0","6.2",0,"DEF","ARS"
7,"69140.jpg","Mustafi",3,"a",69140,"Shkodran","Mustafi",20,"",54,NA,NA,NA,"0.7","4.8",-1,0,1,0,FALSE,0,"1.4","3.8",38791,30565,1928,899,0,0,0,0,26,2,"3.3","4.8","4.3",FALSE,720,1,0,2,10,0,0,0,2,0,0,1,147,"223.4","31.3","95.0","35.0",0,"DEF","ARS"
8,"111457.jpg","Kolasinac",3,"a",111457,"Sead","Kolasinac",31,"",49,"2018-08-02T07:01:09Z",100,100,"0.0","0.0",-1,0,1,0,FALSE,0,"0.3","0.0",20137,1221,237,222,0,0,0,0,0,0,"0.0","1.0","0.5",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"DEF","ARS"
10,"233963.jpg","Mavropanos",3,"i",233963,"Konstantinos","Mavropanos",27,"Groin Injury - Expected back 28 Oct",48,"2018-09-25T09:01:13Z",0,0,"0.0","0.0",-2,0,2,0,FALSE,0,"0.1","0.0",7961,941,212,7,0,0,0,0,0,0,"0.0","0.0","0.0",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"DEF","ARS"
11,"27335.jpg","Lichtsteiner",3,"a",27335,"Stephan","Lichtsteiner",12,"",46,NA,NA,NA,"0.0","0.2",-4,-1,4,1,FALSE,0,"1.0","0.0",86518,9640,1531,208,0,0,0,0,1,0,"1.0","1.0","0.5",FALSE,55,0,0,0,1,0,0,0,0,0,0,0,0,"1.0","5.8","2.0","0.9",0,"DEF","ARS"
12,"39476.jpg","Sokratis",3,"a",39476,"Sokratis","Papastathopoulos",5,"",52,"2018-09-23T16:01:13Z",100,100,"0.1","1.0",-3,0,3,0,FALSE,0,"1.4","0.5",81180,12308,1950,608,0,0,0,0,5,0,"0.8","1.5","1.0",FALSE,488,0,0,0,9,0,0,0,3,0,0,0,60,"92.2","12.1","6.0","11.1",0,"DEF","ARS"
13,"37605.jpg","Özil",3,"d",37605,"Mesut","Özil",10,"Back injury - 75% chance of playing",83,"2018-10-07T10:31:16Z",NA,75,"0.7","3.5",-2,0,2,0,FALSE,0,"3.9","5.8",205026,133382,21317,5142,0,0,0,0,29,0,"4.8","6.8","4.7",FALSE,510,2,0,2,7,0,0,0,0,0,0,5,94,"124.4","153.6","74.0","35.2",0,"MID","ARS"
14,"41792.jpg","Ramsey",3,"a",41792,"Aaron","Ramsey",8,"",74,"2018-08-02T07:01:09Z",100,100,"0.9","4.2",-1,0,1,0,FALSE,0,"1.7","6.3",62638,78318,2666,17730,0,0,0,0,31,10,"3.9","7.3","6.8",FALSE,498,1,3,3,5,0,0,0,0,0,0,1,111,"161.2","183.1","156.0","50.1",0,"MID","ARS"
15,"153133.jpg","Iwobi",3,"a",153133,"Alex","Iwobi",17,"",55,"2018-09-03T09:01:13Z",100,100,"0.3","3.3",0,0,0,0,FALSE,0,"1.1","1.8",93446,92468,1967,2691,0,0,0,0,18,2,"3.6","2.8","2.3",FALSE,233,1,2,0,4,0,0,0,0,0,0,0,65,"76.2","54.8","67.0","19.7",0,"MID","ARS"
16,"153256.jpg","Elneny",3,"a",153256,"Mohamed","Elneny",4,"",43,NA,NA,NA,"0.0","0.0",-2,0,2,0,FALSE,0,"2.6","0.0",97339,62864,4358,8231,0,0,0,0,0,0,"0.0","1.0","0.5",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"MID","ARS"
17,"84450.jpg","Xhaka",3,"a",84450,"Granit","Xhaka",34,"",53,NA,NA,NA,"0.8","4.5",-2,0,2,0,FALSE,0,"3.4","4.3",149158,88045,6309,6375,0,0,0,0,24,2,"3.0","5.3","4.8",FALSE,654,1,1,2,9,0,0,0,3,0,0,2,120,"177.4","144.3","31.0","35.4",0,"MID","ARS"
