"id","name","code","short_name","unavailable","strength","position","played","win","loss","draw","points","form","link_url","strength_overall_home","strength_overall_away","strength_attack_home","strength_attack_away","strength_defence_home","strength_defence_away","team_division","is_home","day","event_day","month","id2","opponent","is_home1","day1","event_day1","month1","id1","opponent1"
1,"Arsenal",3,"ARS",FALSE,4,0,0,0,0,0,0,NA,"",1250,1320,1240,1290,1260,1320,1,TRUE,25,1,8,21,"WHU",FALSE,2,2,9,33,"CAR"
2,"Bournemouth",91,"BOU",FALSE,3,0,0,0,0,0,0,NA,"",1100,1130,1040,1070,1070,1120,1,TRUE,25,1,8,22,"EVE",FALSE,1,1,9,34,"CHE"
3,"Brighton",36,"BHA",FALSE,2,0,0,0,0,0,0,NA,"",1040,1100,1050,1080,1030,1100,1,FALSE,25,1,8,25,"LIV",TRUE,1,1,9,31,"FUL"
4,"Burnley",90,"BUR",FALSE,3,0,0,0,0,0,0,NA,"",1130,1130,1110,1150,1050,1090,1,FALSE,26,2,8,23,"FUL",TRUE,2,2,9,32,"MUN"
5,"Cardiff",97,"CAR",FALSE,2,0,0,0,0,0,0,NA,"",1020,1080,1030,1080,1000,1070,1,FALSE,25,1,8,24,"HUD",TRUE,2,2,9,33,"ARS"
6,"Chelsea",8,"CHE",FALSE,4,0,0,0,0,0,0,NA,"",1260,1290,1250,1290,1280,1300,1,FALSE,26,2,8,27,"NEW",TRUE,1,1,9,34,"BOU"
7,"Crystal Palace",31,"CRY",FALSE,3,0,0,0,0,0,0,NA,"",1090,1120,1070,1110,1080,1130,1,FALSE,26,2,8,29,"WAT",TRUE,1,1,9,35,"SOU"
8,"Everton",11,"EVE",FALSE,3,0,0,0,0,0,0,NA,"",1080,1150,1070,1160,1060,1160,1,FALSE,25,1,8,22,"BOU",TRUE,1,1,9,36,"HUD"
9,"Fulham",54,"FUL",FALSE,2,0,0,0,0,0,0,NA,"",1010,1070,1030,1050,1020,1080,1,TRUE,26,2,8,23,"BUR",FALSE,1,1,9,31,"BHA"
10,"Huddersfield",38,"HUD",FALSE,2,0,0,0,0,0,0,NA,"",1030,1060,1040,1050,1000,1040,1,TRUE,25,1,8,24,"CAR",FALSE,1,1,9,36,"EVE"
11,"Leicester",13,"LEI",FALSE,3,0,0,0,0,0,0,NA,"",1140,1180,1110,1200,1150,1180,1,FALSE,25,1,8,28,"SOU",TRUE,1,1,9,37,"LIV"
12,"Liverpool",14,"LIV",FALSE,5,0,0,0,0,0,0,NA,"",1330,1340,1270,1300,1300,1330,1,TRUE,25,1,8,25,"BHA",FALSE,1,1,9,37,"LEI"
13,"Man City",43,"MCI",FALSE,5,0,0,0,0,0,0,NA,"",1340,1350,1300,1310,1320,1340,1,FALSE,25,1,8,30,"WOL",TRUE,1,1,9,38,"NEW"
14,"Man Utd",1,"MUN",FALSE,4,0,0,0,0,0,0,NA,"",1310,1320,1290,1330,1270,1300,1,TRUE,27,3,8,26,"TOT",FALSE,2,2,9,32,"BUR"
15,"Newcastle",4,"NEW",FALSE,3,0,0,0,0,0,0,NA,"",1100,1150,1070,1200,1060,1100,1,TRUE,26,2,8,27,"CHE",FALSE,1,1,9,38,"MCI"
16,"Southampton",20,"SOU",FALSE,2,0,0,0,0,0,0,NA,"",1040,1090,1030,1080,1030,1080,1,TRUE,25,1,8,28,"LEI",FALSE,1,1,9,35,"CRY"
17,"Spurs",6,"TOT",FALSE,5,0,0,0,0,0,0,NA,"",1330,1330,1300,1300,1310,1330,1,FALSE,27,3,8,26,"MUN",FALSE,2,2,9,39,"WAT"
18,"Watford",57,"WAT",FALSE,2,0,0,0,0,0,0,NA,"",1030,1100,1030,1090,1050,1100,1,TRUE,26,2,8,29,"CRY",TRUE,2,2,9,39,"TOT"
19,"West Ham",21,"WHU",FALSE,3,0,0,0,0,0,0,NA,"",1090,1110,1050,1120,1140,1130,1,FALSE,25,1,8,21,"ARS",TRUE,1,1,9,40,"WOL"
20,"Wolves",39,"WOL",FALSE,2,0,0,0,0,0,0,NA,"",1040,1090,1040,1080,1030,1090,1,TRUE,25,1,8,30,"MCI",FALSE,1,1,9,40,"WHU"
