"id","name","code","short_name","unavailable","strength","position","played","win","loss","draw","points","form","link_url","strength_overall_home","strength_overall_away","strength_attack_home","strength_attack_away","strength_defence_home","strength_defence_away","team_division","is_home","day","event_day","month","id2","opponent","is_home1","day1","event_day1","month1","id1","opponent1"
1,"Arsenal",3,"ARS",FALSE,4,0,0,0,0,0,0,NA,"",1250,1320,1240,1290,1260,1320,1,FALSE,18,1,8,14,"CHE",TRUE,25,1,8,21,"WHU"
2,"Bournemouth",91,"BOU",FALSE,3,0,0,0,0,0,0,NA,"",1100,1130,1040,1070,1070,1120,1,FALSE,18,1,8,20,"WHU",TRUE,25,1,8,22,"EVE"
3,"Brighton",36,"BHA",FALSE,2,0,0,0,0,0,0,NA,"",1040,1100,1050,1080,1030,1100,1,TRUE,19,2,8,11,"MUN",FALSE,25,1,8,25,"LIV"
4,"Burnley",90,"BUR",FALSE,3,0,0,0,0,0,0,NA,"",1130,1130,1110,1150,1050,1090,1,TRUE,19,2,8,12,"WAT",FALSE,26,2,8,23,"FUL"
5,"Cardiff",97,"CAR",FALSE,2,0,0,0,0,0,0,NA,"",1020,1080,1030,1080,1000,1070,1,TRUE,18,1,8,13,"NEW",FALSE,25,1,8,24,"HUD"
6,"Chelsea",8,"CHE",FALSE,4,0,0,0,0,0,0,NA,"",1260,1290,1250,1290,1280,1300,1,TRUE,18,1,8,14,"ARS",FALSE,26,2,8,27,"NEW"
7,"Crystal Palace",31,"CRY",FALSE,3,0,0,0,0,0,0,NA,"",1090,1120,1070,1110,1080,1130,1,TRUE,20,3,8,15,"LIV",FALSE,26,2,8,29,"WAT"
8,"Everton",11,"EVE",FALSE,3,0,0,0,0,0,0,NA,"",1080,1150,1070,1160,1060,1160,1,TRUE,18,1,8,16,"SOU",FALSE,25,1,8,22,"BOU"
9,"Fulham",54,"FUL",FALSE,2,0,0,0,0,0,0,NA,"",1010,1070,1030,1050,1020,1080,1,FALSE,18,1,8,19,"TOT",TRUE,26,2,8,23,"BUR"
10,"Huddersfield",38,"HUD",FALSE,2,0,0,0,0,0,0,NA,"",1030,1060,1040,1050,1000,1040,1,FALSE,19,2,8,18,"MCI",TRUE,25,1,8,24,"CAR"
11,"Leicester",13,"LEI",FALSE,3,0,0,0,0,0,0,NA,"",1140,1180,1110,1200,1150,1180,1,TRUE,18,1,8,17,"WOL",FALSE,25,1,8,28,"SOU"
12,"Liverpool",14,"LIV",FALSE,5,0,0,0,0,0,0,NA,"",1330,1340,1270,1300,1300,1330,1,FALSE,20,3,8,15,"CRY",TRUE,25,1,8,25,"BHA"
13,"Man City",43,"MCI",FALSE,5,0,0,0,0,0,0,NA,"",1340,1350,1300,1310,1320,1340,1,TRUE,19,2,8,18,"HUD",FALSE,25,1,8,30,"WOL"
14,"Man Utd",1,"MUN",FALSE,4,0,0,0,0,0,0,NA,"",1310,1320,1290,1330,1270,1300,1,FALSE,19,2,8,11,"BHA",TRUE,27,3,8,26,"TOT"
15,"Newcastle",4,"NEW",FALSE,3,0,0,0,0,0,0,NA,"",1100,1150,1070,1200,1060,1100,1,FALSE,18,1,8,13,"CAR",TRUE,26,2,8,27,"CHE"
16,"Southampton",20,"SOU",FALSE,2,0,0,0,0,0,0,NA,"",1040,1090,1030,1080,1030,1080,1,FALSE,18,1,8,16,"EVE",TRUE,25,1,8,28,"LEI"
17,"Spurs",6,"TOT",FALSE,5,0,0,0,0,0,0,NA,"",1330,1330,1300,1300,1310,1330,1,TRUE,18,1,8,19,"FUL",FALSE,27,3,8,26,"MUN"
18,"Watford",57,"WAT",FALSE,2,0,0,0,0,0,0,NA,"",1030,1100,1030,1090,1050,1100,1,FALSE,19,2,8,12,"BUR",TRUE,26,2,8,29,"CRY"
19,"West Ham",21,"WHU",FALSE,3,0,0,0,0,0,0,NA,"",1090,1110,1050,1120,1140,1130,1,TRUE,18,1,8,20,"BOU",FALSE,25,1,8,21,"ARS"
20,"Wolves",39,"WOL",FALSE,2,0,0,0,0,0,0,NA,"",1040,1090,1040,1080,1030,1090,1,FALSE,18,1,8,17,"LEI",TRUE,25,1,8,30,"MCI"
