"player_id","web_name","first_name","second_name","id","kickoff_time","kickoff_time_formatted","team_h_score","team_a_score","was_home","round","total_points","value","transfers_balance","selected","transfers_in","transfers_out","loaned_in","loaned_out","minutes","goals_scored","assists","clean_sheets","goals_conceded","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus","bps","influence","creativity","threat","ict_index","ea_index","open_play_crosses","big_chances_created","clearances_blocks_interceptions","recoveries","key_passes","tackles","winning_goals","attempted_passes","completed_passes","penalties_conceded","big_chances_missed","errors_leading_to_goal","errors_leading_to_goal_attempt","tackled","offside","target_missed","fouls","dribbles","element","fixture","opponent_team"
18,"Mkhitaryan","Henrikh","Mkhitaryan",16234,"2019-03-10T16:30:00Z","10 Mar 16:30",2,0,TRUE,30,0,68,12191,378606,34116,21925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,291,14
19,"Nelson","Reiss","Nelson",16235,"2019-03-10T16:30:00Z","10 Mar 16:30",2,0,TRUE,30,0,44,-76,24334,4,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,291,14
20,"Maitland-Niles","Ainsley","Maitland-Niles",16236,"2019-03-10T16:30:00Z","10 Mar 16:30",2,0,TRUE,30,3,44,-1023,24276,200,1223,0,0,90,0,0,1,0,0,0,0,0,0,0,0,7,"24.4","12.8","4.0","4.1",0,0,0,7,3,1,0,0,29,22,0,0,0,0,4,0,0,1,1,20,291,14
21,"Welbeck","Danny","Welbeck",16237,"2019-03-10T16:30:00Z","10 Mar 16:30",2,0,TRUE,30,0,64,-90,28242,54,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,291,14
22,"Lacazette","Alexandre","Lacazette",16238,"2019-03-10T16:30:00Z","10 Mar 16:30",2,0,TRUE,30,8,94,-58011,566031,19199,77210,0,0,85,0,2,1,0,0,0,0,0,0,0,0,14,"11.0","12.9","49.0","7.3",0,0,0,0,1,1,0,0,22,17,0,0,0,0,7,1,3,1,1,22,291,14
23,"Aubameyang","Pierre-Emerick","Aubameyang",16239,"2019-03-10T16:30:00Z","10 Mar 16:30",2,0,TRUE,30,7,108,-202407,1172122,5439,207846,0,0,79,1,0,1,0,0,0,0,0,0,0,1,26,"33.6","10.7","44.0","8.8",0,0,0,3,2,1,0,0,13,7,0,0,0,0,1,1,2,2,0,23,291,14
24,"Begovic","Asmir","Begovic",16826,"2019-03-16T15:00:00Z","16 Mar 15:00",2,2,TRUE,31,0,43,-1008,189709,3201,4209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,301,15
25,"Boruc","Artur","Boruc",16827,"2019-03-16T15:00:00Z","16 Mar 15:00",2,2,TRUE,31,2,41,30880,649177,36016,5136,0,0,90,0,0,0,2,0,0,0,0,0,3,0,16,"16.6","0.0","0.0","1.7",0,0,0,1,13,0,0,0,18,14,0,0,0,0,0,0,0,0,0,25,301,15
26,"Francis","Simon","Francis",16828,"2019-03-16T15:00:00Z","16 Mar 15:00",2,2,TRUE,31,0,43,-137,12944,10,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,301,15
27,"Steve Cook","Steve","Cook",16829,"2019-03-16T15:00:00Z","16 Mar 15:00",2,2,TRUE,31,0,43,-17323,266459,77,17400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,301,15
28,"Daniels","Charlie","Daniels",16830,"2019-03-16T15:00:00Z","16 Mar 15:00",2,2,TRUE,31,0,41,31999,326436,34114,2115,0,0,90,0,0,0,2,0,0,0,1,0,0,0,10,"10.2","3.7","6.0","2.0",0,0,0,4,6,0,2,0,49,36,0,0,0,0,1,0,1,1,0,28,301,15
29,"Adam Smith","Adam","Smith",16831,"2019-03-16T15:00:00Z","16 Mar 15:00",2,2,TRUE,31,0,43,-4232,28933,294,4526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,301,15
30,"Mings","Tyrone","Mings",16832,"2019-03-16T15:00:00Z","16 Mar 15:00",2,2,TRUE,31,0,42,-62,6508,2,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,301,15
31,"Aké","Nathan","Aké",16833,"2019-03-16T15:00:00Z","16 Mar 15:00",2,2,TRUE,31,4,51,58137,516132,62871,4734,0,0,90,0,1,0,2,0,0,0,0,0,0,0,25,"24.8","0.3","2.0","2.7",0,0,0,7,6,0,0,0,41,37,0,0,0,0,0,0,0,1,0,31,301,15
32,"Simpson","Jack","Simpson",16834,"2019-03-16T15:00:00Z","16 Mar 15:00",2,2,TRUE,31,0,38,-420,428045,9207,9627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,301,15
33,"Arter","Harry","Arter",16249,"2019-03-09T15:00:00Z","09 Mar 15:00",2,0,TRUE,30,2,49,-38,11235,44,82,0,0,83,0,0,1,0,0,0,0,1,0,0,0,6,"1.2","1.6","1.0","0.4",0,0,0,2,9,0,2,0,21,18,0,0,0,0,1,0,1,3,0,33,292,19
34,"Pugh","Marc","Pugh",16835,"2019-03-16T15:00:00Z","16 Mar 15:00",2,2,TRUE,31,0,43,-160,22386,18,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,301,15
35,"Surman","Andrew","Surman",16836,"2019-03-16T15:00:00Z","16 Mar 15:00",2,2,TRUE,31,0,46,422,10876,596,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,301,15
36,"Stanislas","Junior","Stanislas",16837,"2019-03-16T15:00:00Z","16 Mar 15:00",2,2,TRUE,31,0,60,-93,5052,34,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,301,15
37,"Gosling","Dan","Gosling",16838,"2019-03-16T15:00:00Z","16 Mar 15:00",2,2,TRUE,31,0,47,-225,6081,117,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,301,15
38,"Ibe","Jordon","Ibe",16839,"2019-03-16T15:00:00Z","16 Mar 15:00",2,2,TRUE,31,1,50,64,13686,211,147,0,0,74,0,0,0,1,0,0,0,1,0,0,0,5,"3.4","1.9","2.0","0.7",0,0,0,0,2,0,0,0,20,14,0,0,0,0,2,0,0,2,6,38,301,15
39,"Lewis Cook","Lewis","Cook",16840,"2019-03-16T15:00:00Z","16 Mar 15:00",2,2,TRUE,31,0,47,-31,7195,9,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,301,15
