"id","photo","web_name","team_code","status","code","first_name","second_name","squad_number","news","now_cost","news_added","chance_of_playing_this_round","chance_of_playing_next_round","value_form","value_season","cost_change_start","cost_change_event","cost_change_start_fall","cost_change_event_fall","in_dreamteam","dreamteam_count","selected_by_percent","form","transfers_out","transfers_in","transfers_out_event","transfers_in_event","loans_in","loans_out","loaned_in","loaned_out","total_points","event_points","points_per_game","ep_this","ep_next","special","minutes","goals_scored","assists","clean_sheets","goals_conceded","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus","bps","influence","creativity","threat","ict_index","ea_index","element_type","team"
1,"11334.jpg","Cech",3,"a",11334,"Petr","Cech",1,"",48,"2018-09-29T17:31:14Z",100,100,"0.0","5.0",-2,0,2,0,FALSE,0,"1.1","0.0",134537,82385,146,57,0,0,0,0,24,0,"3.4","0.0","0.5",FALSE,585,0,0,1,9,0,0,0,0,0,27,3,130,"205.0","0.0","0.0","20.4",0,"GKP","ARS"
2,"80201.jpg","Leno",3,"a",80201,"Bernd","Leno",19,"",48,NA,NA,NA,"1.1","16.3",-2,0,2,0,FALSE,1,"2.5","5.3",193335,188858,2012,6674,0,0,0,0,78,0,"3.3","0.0","5.8",FALSE,2115,0,0,4,30,0,0,0,0,0,77,5,422,"582.2","0.0","0.0","58.1",0,"GKP","ARS"
3,"51507.jpg","Koscielny",3,"a",51507,"Laurent","Koscielny",6,"",54,"2019-02-27T23:01:19Z",100,100,"0.8","9.3",-1,0,1,0,FALSE,1,"0.9","4.5",53665,88373,1172,3704,0,0,0,0,50,0,"4.2","0.0","5.0",FALSE,958,3,0,2,13,0,0,0,1,0,0,5,234,"361.8","15.7","99.0","47.6",0,"DEF","ARS"
4,"98745.jpg","Bellerín",3,"i",98745,"Héctor","Bellerín",2,"Knee injury - Unknown return date",54,"2019-01-19T20:01:19Z",0,0,"0.0","11.1",-1,0,1,0,FALSE,0,"4.6","0.0",1136410,566814,936,27,0,0,0,0,60,0,"3.2","0.0","0.0",FALSE,1532,0,5,4,21,1,0,0,3,0,0,5,304,"261.6","197.8","280.0","73.7",0,"DEF","ARS"
5,"38411.jpg","Monreal",3,"a",38411,"Nacho","Monreal",18,"",54,"2018-12-22T14:31:17Z",100,100,"0.5","10.2",-1,0,1,0,FALSE,1,"0.8","2.5",251934,230216,351,526,0,0,0,0,55,0,"3.4","0.0","3.0",FALSE,1320,1,3,3,18,0,0,0,2,0,0,4,274,"319.8","132.9","169.0","62.2",0,"DEF","ARS"
6,"156074.jpg","Holding",3,"i",156074,"Rob","Holding",16,"Anterior cruciate ligament  - Expected back 05 Jun",43,"2018-12-05T23:01:16Z",0,0,"0.0","5.6",-2,0,2,0,FALSE,0,"0.4","0.0",61634,39757,64,10,0,0,0,0,24,0,"2.4","0.0","0.0",FALSE,806,0,0,1,10,0,0,0,1,0,0,5,148,"187.8","28.7","14.0","23.2",0,"DEF","ARS"
7,"69140.jpg","Mustafi",3,"a",69140,"Shkodran","Mustafi",20,"",54,"2019-02-03T20:31:19Z",100,100,"0.4","11.1",-1,0,1,0,FALSE,0,"1.0","2.0",133280,95192,279,387,0,0,0,0,60,0,"2.5","0.0","2.5",FALSE,1981,2,0,4,31,0,0,0,6,0,0,2,362,"555.8","55.3","191.0","80.5",0,"DEF","ARS"
8,"111457.jpg","Kolasinac",3,"a",111457,"Sead","Kolasinac",31,"",50,"2018-12-22T12:31:16Z",100,100,"0.9","14.2",0,0,0,0,FALSE,1,"5.7","4.3",434388,732923,5839,12707,0,0,0,0,71,0,"3.9","0.0","4.8",FALSE,1526,0,7,4,22,1,0,0,4,0,0,10,338,"281.4","385.7","205.0","87.1",0,"DEF","ARS"
10,"233963.jpg","Mavropanos",3,"a",233963,"Konstantinos","Mavropanos",27,"",47,"2018-09-25T09:01:13Z",100,100,"0.0","0.2",-3,0,3,0,FALSE,0,"0.1","0.0",10465,2148,26,22,0,0,0,0,1,0,"1.0","0.0","0.5",FALSE,11,0,0,0,0,0,0,0,0,0,0,0,4,"3.4","0.1","0.0","0.4",0,"DEF","ARS"
11,"27335.jpg","Lichtsteiner",3,"a",27335,"Stephan","Lichtsteiner",12,"",45,"2019-02-24T17:31:21Z",100,100,"0.1","2.4",-5,0,5,0,FALSE,0,"0.8","0.3",117445,27738,119,90,0,0,0,0,11,0,"0.9","0.0","0.8",FALSE,769,0,0,0,16,0,0,0,2,0,0,0,68,"96.4","45.6","19.0","16.3",0,"DEF","ARS"
12,"39476.jpg","Sokratis",3,"a",39476,"Sokratis","Papastathopoulos",5,"",51,"2019-01-25T23:31:21Z",100,100,"0.7","9.4",-4,0,4,0,FALSE,1,"1.1","3.5",136345,50829,237,980,0,0,0,0,48,0,"2.4","0.0","4.0",FALSE,1748,0,2,4,25,0,0,0,9,0,0,3,317,"377.2","63.8","61.0","50.4",0,"DEF","ARS"
13,"37605.jpg","Özil",3,"a",37605,"Mesut","Özil",10,"",79,"2019-02-09T17:01:20Z",100,100,"0.5","9.2",-6,0,6,0,FALSE,2,"2.4","4.3",607871,430869,936,1379,0,0,0,0,73,0,"4.1","0.0","4.8",FALSE,1261,4,3,4,16,0,0,0,1,0,0,9,292,"333.4","520.8","176.0","103.1",0,"MID","ARS"
14,"41792.jpg","Ramsey",3,"a",41792,"Aaron","Ramsey",8,"",71,"2019-02-09T17:01:20Z",100,100,"0.5","10.7",-4,0,4,0,FALSE,0,"1.0","3.5",217757,182403,523,1158,0,0,0,0,76,0,"3.0","0.0","4.0",FALSE,1141,3,6,7,13,0,0,0,0,0,0,1,240,"350.0","330.0","411.0","109.3",0,"MID","ARS"
15,"153133.jpg","Iwobi",3,"a",153133,"Alex","Iwobi",17,"",54,"2019-02-24T17:31:21Z",100,100,"0.5","14.3",-1,0,1,0,FALSE,0,"1.6","2.5",262328,286249,2348,1035,0,0,0,0,77,0,"2.9","0.0","3.0",FALSE,1532,3,6,2,26,0,0,0,0,0,0,1,295,"352.4","396.0","451.0","119.9",0,"MID","ARS"
16,"153256.jpg","Elneny",3,"a",153256,"Mohamed","Elneny",4,"",42,"2018-10-31T10:31:13Z",100,100,"0.0","1.0",-3,0,3,0,FALSE,0,"2.3","0.0",197829,123649,905,745,0,0,0,0,4,0,"1.0","0.0","0.5",FALSE,152,0,0,0,1,0,0,0,0,0,0,0,13,"38.4","16.8","51.0","10.6",0,"MID","ARS"
17,"84450.jpg","Xhaka",3,"a",84450,"Granit","Xhaka",34,"",52,"2019-02-03T16:31:23Z",100,100,"0.7","15.4",-3,0,3,0,FALSE,1,"2.4","3.8",359116,230236,1024,3025,0,0,0,0,80,0,"3.2","0.0","4.3",FALSE,2152,4,2,6,30,0,0,0,8,0,0,8,398,"554.8","534.0","173.0","126.4",0,"MID","ARS"
18,"57249.jpg","Mkhitaryan",3,"a",57249,"Henrikh","Mkhitaryan",7,"",68,"2019-03-10T21:01:20Z",100,100,"1.1","12.5",-2,0,2,0,FALSE,4,"5.5","7.8",1412709,990321,8801,8469,0,0,0,0,85,0,"4.7","0.0","8.3",FALSE,1156,6,4,2,19,0,0,0,1,0,0,12,296,"385.8","344.7","422.0","115.4",0,"MID","ARS"
19,"200641.jpg","Nelson",3,"u",200641,"Reiss","Nelson",48,"Season-long loan to Hoffenheim",44,"2018-09-02T07:29:58Z",0,0,"0.0","0.0",-1,0,1,0,FALSE,0,"0.4","0.0",32920,4147,30,2,0,0,0,0,0,0,"0.0","0.0","0.0",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"MID","ARS"
20,"154043.jpg","Maitland-Niles",3,"a",154043,"Ainsley","Maitland-Niles",15,"",44,"2019-02-21T17:31:20Z",100,100,"0.2","6.1",-1,0,1,0,FALSE,0,"0.4","0.8",53500,40207,319,646,0,0,0,0,27,0,"2.7","0.0","1.3",FALSE,611,1,1,1,11,0,0,0,1,0,0,3,108,"171.4","83.7","96.0","35.1",0,"MID","ARS"
21,"50175.jpg","Welbeck",3,"i",50175,"Danny","Welbeck",23,"Ankle injury - Unknown return date",64,"2018-11-08T23:01:14Z",0,0,"0.0","3.0",-1,0,1,0,FALSE,0,"0.4","0.0",50396,29426,56,17,0,0,0,0,19,0,"2.4","0.0","0.0",FALSE,146,1,1,0,3,0,0,0,0,0,0,3,63,"73.6","56.8","66.0","19.5",0,"FWD","ARS"
22,"59966.jpg","Lacazette",3,"a",59966,"Alexandre","Lacazette",9,"",94,"2018-11-25T13:01:16Z",75,75,"0.6","15.5",-1,0,1,0,FALSE,1,"8.3","6.0",1735854,1924380,12365,13261,0,0,0,0,146,0,"5.0","0.0","4.9",FALSE,1969,12,11,5,22,0,0,0,2,0,0,19,492,"711.4","368.1","989.0","206.5",0,"FWD","ARS"
23,"54694.jpg","Aubameyang",3,"a",54694,"Pierre-Emerick","Aubameyang",14,"",108,"2019-02-07T14:31:19Z",100,100,"0.3","15.2",-2,0,2,0,TRUE,4,"17.8","3.5",3448140,3368006,15612,18377,0,0,0,0,164,0,"5.7","0.0","4.0",FALSE,2198,17,6,6,34,0,0,1,0,0,0,26,589,"766.4","380.9","1135.0","228.1",0,"FWD","ARS"
450,"198849.jpg","Torreira",3,"s",198849,"Lucas","Torreira",11,"Suspended until 15 Apr",47,"2019-03-02T19:31:20Z",0,0,"0.3","15.3",-3,0,3,0,FALSE,1,"3.0","1.3",646767,680478,5285,81,0,0,0,0,72,0,"2.5","0.0","0.0",FALSE,2072,2,4,5,30,0,0,0,6,1,0,6,374,"402.8","266.1","178.0","84.9",0,"MID","ARS"
451,"242166.jpg","Guendouzi",3,"a",242166,"Matteo","Guendouzi",29,"",44,"2018-11-01T01:01:15Z",100,100,"0.2","8.6",-1,0,1,0,FALSE,0,"1.8","0.8",261163,262833,1215,348,0,0,0,0,38,0,"1.5","0.0","1.3",FALSE,1688,0,0,2,25,0,0,0,5,0,0,0,261,"262.6","254.6","124.0","64.2",0,"MID","ARS"
542,"98980.jpg","Martínez",3,"u",98980,"Emiliano","Martínez",26,"Season-long loan to Reading",40,"2019-01-23T13:31:19Z",0,0,"0.0","0.0",0,0,0,0,FALSE,0,"0.2","0.0",16200,21823,144,8,0,0,0,0,0,0,"0.0","0.0","0.0",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"GKP","ARS"
545,"209289.jpg","Smith-Rowe",3,"u",209289,"Emile","Smith-Rowe",55,"Season-long loan to RB Leipzig",45,"2019-01-31T19:01:19Z",0,0,"0.0","0.0",0,0,0,0,FALSE,0,"0.0","0.0",552,568,0,1,0,0,0,0,0,0,"0.0","0.0","0.0",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"MID","ARS"
546,"209037.jpg","Medley",3,"a",209037,"Zech","Medley",47,"",40,NA,NA,NA,"0.0","0.0",0,0,0,0,FALSE,0,"0.1","0.0",4441,6064,52,70,0,0,0,0,0,0,"0.0","0.0","0.5",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"DEF","ARS"
552,"205533.jpg","Nketiah",3,"a",205533,"Edward","Nketiah",49,"",50,NA,NA,NA,"0.1","0.4",0,0,0,0,FALSE,0,"0.0","0.3",2435,3014,50,55,0,0,0,0,2,0,"1.0","0.0","0.8",FALSE,5,0,0,0,0,0,0,0,0,0,0,0,8,"2.0","0.0","0.0","0.2",0,"FWD","ARS"
563,"223340.jpg","Saka",3,"a",223340,"Bukayo","Saka",87,"",45,NA,NA,NA,"0.0","0.2",0,0,0,0,FALSE,0,"0.0","0.0",723,986,22,21,0,0,0,0,1,0,"1.0","0.0","0.5",FALSE,7,0,0,0,0,0,0,0,0,0,0,0,3,"0.0","0.0","0.0","0.0",0,"MID","ARS"
566,"200089.jpg","Willock",3,"a",200089,"Joseph","Willock",59,"",45,NA,NA,NA,"0.0","0.2",0,0,0,0,FALSE,0,"0.0","0.0",315,415,8,11,0,0,0,0,1,0,"1.0","0.0","0.5",FALSE,2,0,0,0,1,0,0,0,0,0,0,0,3,"1.0","0.0","0.0","0.1",0,"MID","ARS"
581,"80254.jpg","Jenkinson",3,"a",80254,"Carl","Jenkinson",25,"",45,NA,NA,NA,"0.1","0.7",0,0,0,0,FALSE,0,"0.0","0.5",190,350,9,11,0,0,0,0,3,0,"1.5","0.0","1.0",FALSE,120,0,0,0,2,0,0,0,0,0,0,0,12,"21.6","14.1","8.0","4.4",0,"DEF","ARS"
586,"89572.jpg","Suárez",3,"a",89572,"Denis","Suárez",22,"",59,NA,NA,NA,"0.1","0.7",-6,0,6,0,FALSE,0,"0.1","0.5",22530,27041,286,46,0,0,0,0,4,0,"1.0","0.0","1.0",FALSE,67,0,0,0,1,0,0,0,0,0,0,0,11,"8.4","4.8","0.0","1.4",0,"MID","ARS"
24,"40349.jpg","Begovic",91,"a",40349,"Asmir","Begovic",27,"",43,"2018-11-13T09:31:15Z",100,100,"0.0","14.2",-2,0,2,0,FALSE,0,"3.0","0.0",249165,154951,1684,496,0,0,0,0,61,0,"2.8","0.0","0.0",FALSE,1980,0,0,5,42,0,0,0,0,0,57,4,348,"421.0","0.0","0.0","42.2",0,"GKP","BOU"
25,"18726.jpg","Boruc",91,"a",18726,"Artur","Boruc",1,"",41,NA,NA,NA,"0.7","8.8",1,0,-1,0,FALSE,1,"9.4","3.0",210268,373826,4152,7949,0,0,0,0,36,2,"4.0","3.0","3.0",FALSE,810,0,0,3,14,0,0,0,1,0,30,4,168,"226.8","0.0","0.0","22.8",0,"GKP","BOU"
26,"15149.jpg","Francis",91,"i",15149,"Simon","Francis",2,"Anterior cruciate ligament  - Expected back 25 Jun",43,"2018-12-26T18:01:16Z",0,0,"0.0","9.3",-2,0,2,0,FALSE,0,"0.2","0.0",42413,25369,43,2,0,0,0,0,40,0,"2.4","0.0","0.0",FALSE,1227,0,2,4,24,0,0,0,1,0,0,0,244,"332.4","173.3","39.0","54.4",0,"DEF","BOU"
27,"56917.jpg","Steve Cook",91,"i",56917,"Steve","Cook",3,"Groin Injury - Expected back 13 Apr",43,"2019-02-23T20:01:19Z",0,0,"0.0","16.3",-2,0,2,0,FALSE,1,"4.4","0.0",687133,764843,4886,38,0,0,0,0,70,0,"2.7","0.0","0.0",FALSE,2340,1,1,7,47,1,0,0,2,0,0,5,453,"627.0","109.2","279.0","101.4",0,"DEF","BOU"
28,"41320.jpg","Daniels",91,"a",41320,"Charlie","Daniels",11,"",41,"2018-10-27T14:01:13Z",100,100,"0.4","10.5",-4,0,4,0,FALSE,1,"4.2","1.6",764870,154243,3112,3712,0,0,0,0,43,0,"2.1","1.6","1.6",FALSE,1528,1,0,4,33,0,0,0,4,0,0,1,267,"280.4","202.3","156.0","63.9",0,"DEF","BOU"
29,"54469.jpg","Adam Smith",91,"d",54469,"Adam","Smith",15,"Hamstring injury - 25% chance of playing",43,"2019-03-09T18:01:19Z",0,25,"0.2","12.6",-2,0,2,0,FALSE,0,"0.5","0.8",89126,79168,1085,20,0,0,0,0,54,0,"2.6","0.0","0.2",FALSE,1707,1,0,6,25,0,0,0,4,1,0,0,287,"272.2","133.0","100.0","50.6",0,"DEF","BOU"
30,"149484.jpg","Mings",91,"u",149484,"Tyrone","Mings",26,"Season-long loan to Aston Villa",42,"2019-01-31T14:31:18Z",0,0,"0.0","1.2",-3,0,3,0,FALSE,0,"0.1","0.0",9197,2385,22,2,0,0,0,0,5,0,"1.0","0.0","0.0",FALSE,141,0,0,0,4,0,0,0,0,0,0,0,41,"49.0","16.3","2.0","6.8",0,"DEF","BOU"
31,"126184.jpg","Aké",91,"a",126184,"Nathan","Aké",5,"",51,"2018-12-30T19:01:16Z",75,75,"0.5","18.8",1,0,-1,0,FALSE,0,"6.0","2.8",319421,422930,7550,4852,0,0,0,0,96,4,"3.1","2.1","2.1",FALSE,2781,3,1,8,56,0,0,0,2,0,0,6,567,"801.0","42.0","337.0","118.0",0,"DEF","BOU"
32,"222434.jpg","Simpson",91,"a",222434,"Jack","Simpson",25,"",38,NA,NA,NA,"0.1","0.5",-2,0,2,0,FALSE,0,"6.8","0.4",268299,282039,3735,7695,0,0,0,0,2,0,"2.0","0.4","0.4",FALSE,82,0,0,0,1,0,0,0,0,0,0,0,13,"18.8","0.0","0.0","1.9",0,"DEF","BOU"
34,"20037.jpg","Pugh",91,"u",20037,"Marc","Pugh",7,"Season-long loan to Hull City",43,"2019-01-23T10:33:34Z",0,0,"0.0","0.0",-2,0,2,0,FALSE,0,"0.4","0.0",31500,8819,51,4,0,0,0,0,0,0,"0.0","0.0","0.0",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"MID","BOU"
35,"15237.jpg","Surman",91,"d",15237,"Andrew","Surman",6,"Calf injury - 25% chance of playing",46,"2019-03-17T14:31:21Z",NA,25,"0.3","7.8",-4,0,4,0,FALSE,0,"0.2","1.4",24799,11087,260,17,0,0,0,0,36,0,"2.0","1.4","0.3",FALSE,1438,0,0,4,37,0,0,0,2,0,0,0,206,"190.8","163.0","38.0","39.2",0,"MID","BOU"
36,"56872.jpg","Stanislas",91,"d",56872,"Junior","Stanislas",19,"Thigh injury - 25% chance of playing",60,"2019-02-09T17:01:20Z",0,25,"0.0","7.8",0,0,0,0,FALSE,0,"0.1","0.0",12962,11426,36,9,0,0,0,0,47,0,"2.5","0.0","0.0",FALSE,957,1,3,2,23,0,0,0,1,0,0,3,176,"187.8","250.6","312.0","75.1",0,"MID","BOU"
37,"40387.jpg","Gosling",91,"d",40387,"Dan","Gosling",4,"Knee injury - 25% chance of playing",47,"2019-03-15T11:31:19Z",0,25,"0.3","8.1",-3,0,3,0,FALSE,0,"0.1","1.2",9159,6387,209,6,0,0,0,0,38,0,"1.9","0.0","0.3",FALSE,1354,0,2,3,26,0,0,0,5,0,0,0,172,"251.8","115.3","155.0","52.1",0,"MID","BOU"
38,"103912.jpg","Ibe",91,"a",103912,"Jordon","Ibe",10,"",50,NA,NA,NA,"0.2","4.6",-5,0,5,0,FALSE,0,"0.2","1.0",26224,4883,86,37,0,0,0,0,23,1,"1.4","1.0","1.0",FALSE,644,0,1,0,19,0,0,0,1,0,0,0,75,"76.2","151.8","118.0","34.5",0,"MID","BOU"
