"","id","photo","web_name","team_code","status","code","first_name","second_name","squad_number","news","now_cost","news_added","chance_of_playing_this_round","chance_of_playing_next_round","value_form","value_season","cost_change_start","cost_change_event","cost_change_start_fall","cost_change_event_fall","in_dreamteam","dreamteam_count","selected_by_percent","form","transfers_out","transfers_in","transfers_out_event","transfers_in_event","loans_in","loans_out","loaned_in","loaned_out","total_points","event_points","points_per_game","ep_this","ep_next","special","minutes","goals_scored","assists","clean_sheets","goals_conceded","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus","bps","influence","creativity","threat","ict_index","ea_index","element_type","team"
"14",15,"153133.jpg","Iwobi",3,"a",153133,"Alex","Iwobi",17,"",55,NA,NA,NA,"0.0","0.0",0,0,0,0,FALSE,0,"0.8","0.0",2783,449,2783,449,0,0,0,0,0,0,"0.0","1.2","1.7",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"MID","ARS"
"15",16,"153256.jpg","Elneny",3,"a",153256,"Mohamed","Elneny",4,"",45,NA,NA,NA,"0.0","0.0",0,0,0,0,FALSE,0,"2.8","0.0",7417,1937,7417,1937,0,0,0,0,0,0,"0.0","0.8","1.3",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"MID","ARS"
"16",17,"84450.jpg","Xhaka",3,"a",84450,"Granit","Xhaka",34,"",55,NA,NA,NA,"0.2","0.2",0,0,0,0,FALSE,0,"4.6","1.0",12651,2416,12651,2416,0,0,0,0,1,1,"1.0","1.2","1.7",FALSE,69,0,0,0,2,0,0,0,1,0,0,0,10,"8.8","1.3","0.0","1.0",0,"MID","ARS"
"17",18,"57249.jpg","Mkhitaryan",3,"a",57249,"Henrikh","Mkhitaryan",7,"",70,NA,NA,NA,"0.3","0.3",0,0,0,0,FALSE,0,"13.3","2.0",30083,8338,30083,8338,0,0,0,0,2,2,"2.0","1.9","2.4",FALSE,90,0,0,0,2,0,0,0,0,0,0,0,11,"16.6","22.3","42.0","8.1",0,"MID","ARS"
"18",19,"200641.jpg","Nelson",3,"a",200641,"Reiss","Nelson",48,"",45,NA,NA,NA,"0.0","0.0",0,0,0,0,FALSE,0,"0.8","0.0",2139,474,2139,474,0,0,0,0,0,0,"0.0","0.8","1.3",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"MID","ARS"
"19",20,"154043.jpg","Maitland-Niles",3,"d",154043,"Ainsley","Maitland-Niles",15,"Knock - 75% chance of playing",45,"2018-08-12T16:01:12Z",NA,75,"0.2","0.2",0,0,0,0,FALSE,0,"0.7","1.0",1970,506,1970,506,0,0,0,0,1,1,"1.0","0.8","1.0",FALSE,34,0,0,0,1,0,0,0,0,0,0,0,7,"10.8","10.3","0.0","2.1",0,"MID","ARS"
"20",21,"50175.jpg","Welbeck",3,"d",50175,"Danny","Welbeck",23,"Lack of match fitness - 75% chance of playing",65,"2018-08-10T14:01:12Z",0,75,"0.0","0.0",0,0,0,0,FALSE,0,"0.5","0.0",4151,293,4151,293,0,0,0,0,0,0,"0.0","0.0","1.5",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"FWD","ARS"
"21",22,"59966.jpg","Lacazette",3,"a",59966,"Alexandre","Lacazette",9,"",95,NA,NA,NA,"0.1","0.1",0,0,0,0,FALSE,0,"4.2","1.0",11628,2623,11628,2623,0,0,0,0,1,1,"1.0","3.2","3.7",FALSE,36,0,0,0,1,0,0,0,0,0,0,0,-4,"0.0","0.5","5.0","0.2",0,"FWD","ARS"
"22",23,"54694.jpg","Aubameyang",3,"a",54694,"Pierre-Emerick","Aubameyang",14,"",110,NA,NA,NA,"0.2","0.2",0,0,0,0,FALSE,0,"19.7","2.0",26219,8497,26219,8497,0,0,0,0,2,2,"2.0","4.0","4.5",FALSE,90,0,0,0,2,0,0,0,0,0,0,0,5,"1.0","12.2","1.0","1.4",0,"FWD","ARS"
"23",450,"198849.jpg","Torreira",3,"a",198849,"Lucas","Torreira",11,"",50,NA,NA,NA,"0.2","0.2",0,0,0,0,FALSE,0,"2.0","1.0",4908,1704,4908,1704,0,0,0,0,1,1,"1.0","1.0","1.5",FALSE,20,0,0,0,0,0,0,0,0,0,0,0,5,"3.8","0.6","0.0","0.4",0,"MID","ARS"
"24",451,"242166.jpg","Guendouzi",3,"a",242166,"Matteo","Guendouzi",29,"",45,NA,NA,NA,"0.4","0.4",0,0,0,0,FALSE,0,"1.3","2.0",2352,4460,2352,4460,0,0,0,0,2,2,"2.0","0.8","1.3",FALSE,90,0,0,0,2,0,0,0,0,0,0,0,15,"11.4","3.0","1.0","1.5",0,"MID","ARS"
"25",24,"40349.jpg","Begovic",91,"a",40349,"Asmir","Begovic",27,"",45,NA,NA,NA,"1.3","1.3",0,0,0,0,FALSE,0,"4.9","6.0",2893,6016,2893,6016,0,0,0,0,6,6,"6.0","2.5","2.0",FALSE,90,0,0,1,0,0,0,0,0,0,1,0,21,"10.0","0.0","0.0","1.0",0,"GKP","BOU"
"26",25,"18726.jpg","Boruc",91,"a",18726,"Artur","Boruc",1,"",40,NA,NA,NA,"0.0","0.0",0,0,0,0,FALSE,0,"7.4","0.0",4901,2478,4901,2478,0,0,0,0,0,0,"0.0","1.7","1.2",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"GKP","BOU"
"27",26,"15149.jpg","Francis",91,"a",15149,"Simon","Francis",2,"",45,NA,NA,NA,"0.9","0.9",0,0,0,0,FALSE,0,"0.5","4.0",667,756,667,756,0,0,0,0,4,4,"4.0","2.2","1.7",FALSE,23,0,1,0,0,0,0,0,0,0,0,0,15,"22.2","10.8","4.0","3.7",0,"DEF","BOU"
"28",27,"56917.jpg","Steve Cook",91,"a",56917,"Steve","Cook",3,"",45,NA,NA,NA,"1.3","1.3",0,0,0,0,FALSE,0,"1.4","6.0",1440,3919,1440,3919,0,0,0,0,6,6,"6.0","2.2","1.7",FALSE,90,0,0,1,0,0,0,0,0,0,0,0,25,"23.2","1.0","2.0","2.6",0,"DEF","BOU"
"29",28,"41320.jpg","Daniels",91,"a",41320,"Charlie","Daniels",11,"",45,NA,NA,NA,"1.1","1.1",0,0,0,0,FALSE,0,"17.5","5.0",11964,8280,11964,8280,0,0,0,0,5,5,"5.0","2.2","1.7",FALSE,90,0,0,1,0,0,0,0,1,0,0,0,22,"13.4","17.0","2.0","3.2",0,"DEF","BOU"
"30",29,"54469.jpg","Adam Smith",91,"a",54469,"Adam","Smith",15,"",45,NA,NA,NA,"1.3","1.3",0,0,0,0,FALSE,0,"0.6","6.0",733,2511,733,2511,0,0,0,0,6,6,"6.0","2.2","1.7",FALSE,90,0,0,1,0,0,0,0,0,0,0,0,25,"16.2","15.5","0.0","3.2",0,"DEF","BOU"
"31",30,"149484.jpg","Mings",91,"a",149484,"Tyrone","Mings",26,"",45,NA,NA,NA,"0.0","0.0",0,0,0,0,FALSE,0,"0.2","0.0",502,99,502,99,0,0,0,0,0,0,"0.0","2.2","1.7",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"DEF","BOU"
"32",31,"126184.jpg","Aké",91,"a",126184,"Nathan","Aké",5,"",50,"2018-08-05T11:01:10Z",100,100,"1.6","1.6",0,0,0,0,FALSE,0,"3.9","8.0",3195,9989,3195,9989,0,0,0,0,8,8,"8.0","2.6","2.1",FALSE,90,0,0,1,0,0,0,0,0,0,0,2,33,"35.0","1.1","0.0","3.6",0,"DEF","BOU"
"33",32,"222434.jpg","Simpson",91,"a",222434,"Jack","Simpson",25,"",40,NA,NA,NA,"0.0","0.0",0,0,0,0,FALSE,0,"5.7","0.0",9969,4301,9969,4301,0,0,0,0,0,0,"0.0","1.7","1.2",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"DEF","BOU"
"34",34,"20037.jpg","Pugh",91,"a",20037,"Marc","Pugh",7,"",45,NA,NA,NA,"0.0","0.0",0,0,0,0,FALSE,0,"0.7","0.0",1645,276,1645,276,0,0,0,0,0,0,"0.0","1.8","1.3",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"MID","BOU"
"35",35,"15237.jpg","Surman",91,"a",15237,"Andrew","Surman",6,"",50,NA,NA,NA,"0.6","0.6",0,0,0,0,FALSE,0,"0.4","3.0",940,584,940,584,0,0,0,0,3,3,"3.0","2.0","1.5",FALSE,90,0,0,1,0,0,0,0,0,0,0,0,8,"8.8","3.6","3.0","1.5",0,"MID","BOU"
"36",36,"56872.jpg","Stanislas",91,"i",56872,"Junior","Stanislas",19,"Knee injury - Unknown return date",60,"2018-07-05T14:31:07Z",0,0,"0.0","0.0",0,0,0,0,FALSE,0,"0.1","0.0",287,27,287,27,0,0,0,0,0,0,"0.0","0.0","0.0",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"MID","BOU"
