"id","photo","web_name","team_code","status","code","first_name","second_name","squad_number","news","now_cost","news_added","chance_of_playing_this_round","chance_of_playing_next_round","value_form","value_season","cost_change_start","cost_change_event","cost_change_start_fall","cost_change_event_fall","in_dreamteam","dreamteam_count","selected_by_percent","form","transfers_out","transfers_in","transfers_out_event","transfers_in_event","loans_in","loans_out","loaned_in","loaned_out","total_points","event_points","points_per_game","ep_this","ep_next","special","minutes","goals_scored","assists","clean_sheets","goals_conceded","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus","bps","influence","creativity","threat","ict_index","ea_index","element_type","team"
1,"11334.jpg","Cech",3,"a",11334,"Petr","Cech",1,"",50,NA,NA,NA,"0.6","1.2",0,0,0,0,FALSE,0,"2.0","3.0",15776,23180,9905,17121,0,0,0,0,6,3,"3.0","3.0","3.5",FALSE,180,0,0,0,5,0,0,0,0,0,14,0,50,"100.0","0.0","0.0","10.0",0,"GKP","ARS"
2,"80201.jpg","Leno",3,"a",80201,"Bernd","Leno",19,"",49,NA,NA,NA,"0.0","0.0",-1,-1,1,1,FALSE,0,"1.8","0.0",33903,2843,17676,986,0,0,0,0,0,0,"0.0","0.0","0.5",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"GKP","ARS"
3,"51507.jpg","Koscielny",3,"i",51507,"Laurent","Koscielny",6,"Achilles injury - Expected back 11 Nov",55,"2018-07-05T14:31:07Z",0,0,"0.0","0.0",0,0,0,0,FALSE,0,"0.1","0.0",2201,186,902,66,0,0,0,0,0,0,"0.0","0.0","0.0",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"DEF","ARS"
4,"98745.jpg","Bellerín",3,"a",98745,"Héctor","Bellerín",2,"",55,NA,NA,NA,"0.2","0.4",0,0,0,0,FALSE,0,"12.4","1.0",173686,43475,98072,30799,0,0,0,0,2,1,"1.0","1.0","1.5",FALSE,180,0,0,0,5,0,0,0,0,0,0,0,33,"44.2","28.5","27.0","10.0",0,"DEF","ARS"
5,"38411.jpg","Monreal",3,"a",38411,"Nacho","Monreal",18,"",55,"2018-08-05T10:31:10Z",100,100,"0.1","0.2",0,0,0,0,FALSE,0,"0.9","0.5",15042,11391,5079,10984,0,0,0,0,1,1,"1.0","0.5","1.0",FALSE,90,0,0,0,3,0,0,0,0,0,0,0,14,"15.2","16.2","22.0","5.3",0,"DEF","ARS"
6,"156074.jpg","Holding",3,"a",156074,"Rob","Holding",16,"",45,NA,NA,NA,"0.0","0.0",0,0,0,0,FALSE,0,"0.6","0.0",8846,1806,4422,624,0,0,0,0,0,0,"0.0","0.0","0.5",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"DEF","ARS"
7,"69140.jpg","Mustafi",3,"a",69140,"Shkodran","Mustafi",20,"",55,NA,NA,NA,"0.1","0.2",0,0,0,0,FALSE,0,"1.2","0.5",17427,3562,10047,1851,0,0,0,0,1,0,"0.5","0.5","1.0",FALSE,180,0,0,0,5,0,0,0,1,0,0,0,27,"57.0","10.4","17.0","8.5",0,"DEF","ARS"
8,"111457.jpg","Kolasinac",3,"i",111457,"Sead","Kolasinac",31,"Knee injury - Expected back 07 Oct",49,"2018-08-02T07:01:09Z",0,0,"0.0","0.0",-1,-1,1,1,FALSE,0,"0.4","0.0",14170,306,4668,97,0,0,0,0,0,0,"0.0","0.0","0.0",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"DEF","ARS"
10,"233963.jpg","Mavropanos",3,"a",233963,"Konstantinos","Mavropanos",27,"",49,NA,NA,NA,"0.0","0.0",-1,-1,1,1,FALSE,0,"0.2","0.0",3749,562,1689,181,0,0,0,0,0,0,"0.0","0.0","0.5",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"DEF","ARS"
11,"27335.jpg","Lichtsteiner",3,"a",27335,"Stephan","Lichtsteiner",12,"",49,NA,NA,NA,"0.1","0.2",-1,-1,1,1,FALSE,0,"1.8","0.5",39086,6732,24158,1920,0,0,0,0,1,0,"1.0","0.5","1.0",FALSE,55,0,0,0,1,0,0,0,0,0,0,0,0,"1.0","5.8","2.0","0.9",0,"DEF","ARS"
12,"39476.jpg","Sokratis",3,"a",39476,"Sokratis","Papastathopoulos",5,"",54,NA,NA,NA,"0.1","0.2",-1,-1,1,1,FALSE,0,"2.1","0.5",35041,4882,17307,2843,0,0,0,0,1,1,"0.5","0.5","1.0",FALSE,180,0,0,0,5,0,0,0,1,0,0,0,26,"38.6","10.5","0.0","4.9",0,"DEF","ARS"
13,"37605.jpg","Özil",3,"a",37605,"Mesut","Özil",10,"",84,NA,NA,NA,"0.2","0.5",-1,-1,1,1,FALSE,0,"3.9","2.0",85284,18311,46601,9080,0,0,0,0,4,2,"2.0","2.0","2.5",FALSE,157,0,0,0,4,0,0,0,0,0,0,0,13,"10.2","27.0","18.0","5.5",0,"MID","ARS"
14,"41792.jpg","Ramsey",3,"a",41792,"Aaron","Ramsey",8,"",75,"2018-08-02T07:01:09Z",100,100,"0.1","0.3",0,0,0,0,FALSE,0,"1.1","1.0",19579,5951,11621,2386,0,0,0,0,2,1,"1.0","1.0","1.5",FALSE,75,0,0,0,2,0,0,0,0,0,0,0,9,"11.8","15.6","29.0","5.6",0,"MID","ARS"
15,"153133.jpg","Iwobi",3,"a",153133,"Alex","Iwobi",17,"",55,NA,NA,NA,"0.6","1.3",0,0,0,0,FALSE,0,"1.4","3.5",17524,37502,10081,36832,0,0,0,0,7,7,"7.0","3.5","4.0",FALSE,74,1,0,0,2,0,0,0,0,0,0,0,30,"40.4","26.0","27.0","9.3",0,"MID","ARS"
16,"153256.jpg","Elneny",3,"a",153256,"Mohamed","Elneny",4,"",44,NA,NA,NA,"0.0","0.0",-1,-1,1,1,FALSE,0,"2.4","0.0",37152,8695,18851,5245,0,0,0,0,0,0,"0.0","0.0","0.5",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"MID","ARS"
17,"84450.jpg","Xhaka",3,"a",84450,"Granit","Xhaka",34,"",54,NA,NA,NA,"0.1","0.2",-1,-1,1,1,FALSE,0,"3.2","0.5",76864,5950,41729,1961,0,0,0,0,1,0,"0.5","0.5","1.0",FALSE,114,0,0,0,4,0,0,0,2,0,0,0,14,"12.2","12.8","0.0","2.5",0,"MID","ARS"
18,"57249.jpg","Mkhitaryan",3,"a",57249,"Henrikh","Mkhitaryan",7,"",71,NA,NA,NA,"1.0","2.0",1,1,-1,-1,FALSE,1,"18.7","7.0",150788,412402,46721,393810,0,0,0,0,14,12,"7.0","7.0","7.5",FALSE,180,1,1,0,5,0,0,0,0,0,0,2,54,"80.0","82.3","65.0","22.7",0,"MID","ARS"
19,"200641.jpg","Nelson",3,"a",200641,"Reiss","Nelson",48,"",45,NA,NA,NA,"0.0","0.0",0,0,0,0,FALSE,0,"0.7","0.0",10022,1641,4944,769,0,0,0,0,0,0,"0.0","0.0","0.5",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"MID","ARS"
20,"154043.jpg","Maitland-Niles",3,"i",154043,"Ainsley","Maitland-Niles",15,"Leg injury - Expected back 11 Nov",45,"2018-08-12T16:01:12Z",0,0,"0.1","0.2",0,0,0,0,FALSE,0,"0.4","0.5",13809,982,6122,211,0,0,0,0,1,0,"1.0","0.0","0.0",FALSE,34,0,0,0,1,0,0,0,0,0,0,0,7,"10.8","10.3","0.0","2.1",0,"MID","ARS"
21,"50175.jpg","Welbeck",3,"a",50175,"Danny","Welbeck",23,"",65,"2018-08-10T14:01:12Z",100,100,"0.0","0.0",0,0,0,0,FALSE,0,"0.5","0.0",11076,2121,3513,1525,0,0,0,0,0,0,"0.0","0.0","0.5",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"FWD","ARS"
22,"59966.jpg","Lacazette",3,"a",59966,"Alexandre","Lacazette",9,"",94,NA,NA,NA,"0.1","0.2",-1,-1,1,1,FALSE,0,"2.8","1.0",91350,14553,53152,7938,0,0,0,0,2,1,"1.0","1.0","1.5",FALSE,51,0,0,0,2,0,0,0,0,0,0,0,-2,"4.2","11.1","5.0","1.7",0,"FWD","ARS"
