"player_id","web_name","first_name","second_name","id","kickoff_time","kickoff_time_formatted","team_h_score","team_a_score","was_home","round","total_points","value","transfers_balance","selected","transfers_in","transfers_out","loaned_in","loaned_out","minutes","goals_scored","assists","clean_sheets","goals_conceded","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus","bps","influence","creativity","threat","ict_index","ea_index","open_play_crosses","big_chances_created","clearances_blocks_interceptions","recoveries","key_passes","tackles","winning_goals","attempted_passes","completed_passes","penalties_conceded","big_chances_missed","errors_leading_to_goal","errors_leading_to_goal_attempt","tackled","offside","target_missed","fouls","dribbles","element","fixture","opponent_team"
1,"Cech","Petr","Cech",1,"2018-08-12T15:00:00Z","12 Aug 16:00",0,2,TRUE,1,3,50,0,70767,0,0,0,0,90,0,0,0,2,0,0,0,0,0,6,0,24,"47.0","0.0","0.0","4.7",0,0,0,2,9,0,0,0,42,31,0,0,0,0,0,0,0,0,0,1,1,13
2,"Leno","Bernd","Leno",2,"2018-08-12T15:00:00Z","12 Aug 16:00",0,2,TRUE,1,0,50,0,110646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,13
3,"Koscielny","Laurent","Koscielny",3,"2018-08-12T15:00:00Z","12 Aug 16:00",0,2,TRUE,1,0,55,0,6155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,13
4,"Bellerín","Héctor","Bellerín",4,"2018-08-12T15:00:00Z","12 Aug 16:00",0,2,TRUE,1,1,55,0,727046,0,0,0,0,90,0,0,0,2,0,0,0,0,0,0,0,17,"27.0","11.7","23.0","6.2",0,0,0,9,7,1,2,0,29,22,0,0,0,0,0,0,0,1,1,4,1,13
5,"Monreal","Nacho","Monreal",5,"2018-08-12T15:00:00Z","12 Aug 16:00",0,2,TRUE,1,0,55,0,44811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,13
6,"Holding","Rob","Holding",6,"2018-08-12T15:00:00Z","12 Aug 16:00",0,2,TRUE,1,0,45,0,29752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,13
7,"Mustafi","Shkodran","Mustafi",7,"2018-08-12T15:00:00Z","12 Aug 16:00",0,2,TRUE,1,1,55,0,66040,0,0,0,0,90,0,0,0,2,0,0,0,0,0,0,0,16,"29.4","0.2","17.0","4.7",0,0,0,9,4,0,0,0,40,36,0,0,0,0,0,0,0,1,0,7,1,13
8,"Kolasinac","Sead","Kolasinac",8,"2018-08-12T15:00:00Z","12 Aug 16:00",0,2,TRUE,1,0,50,0,32166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,13
9,"Chambers","Calum","Chambers",9,"2018-08-11T14:00:00Z","11 Aug 15:00",0,2,TRUE,1,1,45,0,91508,0,0,0,0,90,0,0,0,2,0,0,0,0,0,0,0,22,"30.4","0.6","0.0","3.1",0,0,0,7,11,0,2,0,72,69,0,0,0,0,0,0,0,1,1,9,3,7
10,"Mavropanos","Konstantinos","Mavropanos",10,"2018-08-12T15:00:00Z","12 Aug 16:00",0,2,TRUE,1,0,50,0,10713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,13
