"player_id","web_name","first_name","second_name","id","kickoff_time_formatted","event_name","opponent_name","opponent_short_name","is_home","difficulty","code","kickoff_time","team_h_score","team_a_score","finished","minutes","provisional_start_time","finished_provisional","event","team_a","team_h"
67,"Heaton","Tom","Heaton",32,"02 Sep 16:00","Gameweek 4","Man Utd","MUN",TRUE,4,987623,"2018-09-02T15:00:00Z",NA,NA,FALSE,0,FALSE,FALSE,4,14,4
68,"Pope","Nick","Pope",32,"02 Sep 16:00","Gameweek 4","Man Utd","MUN",TRUE,4,987623,"2018-09-02T15:00:00Z",NA,NA,FALSE,0,FALSE,FALSE,4,14,4
69,"Lowton","Matthew","Lowton",32,"02 Sep 16:00","Gameweek 4","Man Utd","MUN",TRUE,4,987623,"2018-09-02T15:00:00Z",NA,NA,FALSE,0,FALSE,FALSE,4,14,4
70,"Mee","Ben","Mee",32,"02 Sep 16:00","Gameweek 4","Man Utd","MUN",TRUE,4,987623,"2018-09-02T15:00:00Z",NA,NA,FALSE,0,FALSE,FALSE,4,14,4
71,"Ward","Stephen","Ward",32,"02 Sep 16:00","Gameweek 4","Man Utd","MUN",TRUE,4,987623,"2018-09-02T15:00:00Z",NA,NA,FALSE,0,FALSE,FALSE,4,14,4
72,"Tarkowski","James","Tarkowski",32,"02 Sep 16:00","Gameweek 4","Man Utd","MUN",TRUE,4,987623,"2018-09-02T15:00:00Z",NA,NA,FALSE,0,FALSE,FALSE,4,14,4
73,"Long","Kevin","Long",32,"02 Sep 16:00","Gameweek 4","Man Utd","MUN",TRUE,4,987623,"2018-09-02T15:00:00Z",NA,NA,FALSE,0,FALSE,FALSE,4,14,4
74,"Taylor","Charlie","Taylor",32,"02 Sep 16:00","Gameweek 4","Man Utd","MUN",TRUE,4,987623,"2018-09-02T15:00:00Z",NA,NA,FALSE,0,FALSE,FALSE,4,14,4
75,"Bardsley","Phil","Bardsley",32,"02 Sep 16:00","Gameweek 4","Man Utd","MUN",TRUE,4,987623,"2018-09-02T15:00:00Z",NA,NA,FALSE,0,FALSE,FALSE,4,14,4
76,"Gudmundsson","Johann Berg","Gudmundsson",32,"02 Sep 16:00","Gameweek 4","Man Utd","MUN",TRUE,4,987623,"2018-09-02T15:00:00Z",NA,NA,FALSE,0,FALSE,FALSE,4,14,4
77,"Defour","Steven","Defour",32,"02 Sep 16:00","Gameweek 4","Man Utd","MUN",TRUE,4,987623,"2018-09-02T15:00:00Z",NA,NA,FALSE,0,FALSE,FALSE,4,14,4
78,"Hendrick","Jeff","Hendrick",32,"02 Sep 16:00","Gameweek 4","Man Utd","MUN",TRUE,4,987623,"2018-09-02T15:00:00Z",NA,NA,FALSE,0,FALSE,FALSE,4,14,4
79,"Brady","Robbie","Brady",32,"02 Sep 16:00","Gameweek 4","Man Utd","MUN",TRUE,4,987623,"2018-09-02T15:00:00Z",NA,NA,FALSE,0,FALSE,FALSE,4,14,4
