"player_id","web_name","first_name","second_name","id","kickoff_time_formatted","event_name","opponent_name","opponent_short_name","is_home","difficulty","code","kickoff_time","team_h_score","team_a_score","finished","minutes","provisional_start_time","finished_provisional","event","team_a","team_h"
1,"Cech","Petr","Cech",61,"29 Sep 15:00","Gameweek 7","Watford","WAT",TRUE,3,987653,"2018-09-29T14:00:00Z",NA,NA,FALSE,0,FALSE,FALSE,7,18,1
2,"Leno","Bernd","Leno",61,"29 Sep 15:00","Gameweek 7","Watford","WAT",TRUE,3,987653,"2018-09-29T14:00:00Z",NA,NA,FALSE,0,FALSE,FALSE,7,18,1
3,"Koscielny","Laurent","Koscielny",61,"29 Sep 15:00","Gameweek 7","Watford","WAT",TRUE,3,987653,"2018-09-29T14:00:00Z",NA,NA,FALSE,0,FALSE,FALSE,7,18,1
4,"Bellerín","Héctor","Bellerín",61,"29 Sep 15:00","Gameweek 7","Watford","WAT",TRUE,3,987653,"2018-09-29T14:00:00Z",NA,NA,FALSE,0,FALSE,FALSE,7,18,1
5,"Monreal","Nacho","Monreal",61,"29 Sep 15:00","Gameweek 7","Watford","WAT",TRUE,3,987653,"2018-09-29T14:00:00Z",NA,NA,FALSE,0,FALSE,FALSE,7,18,1
6,"Holding","Rob","Holding",61,"29 Sep 15:00","Gameweek 7","Watford","WAT",TRUE,3,987653,"2018-09-29T14:00:00Z",NA,NA,FALSE,0,FALSE,FALSE,7,18,1
7,"Mustafi","Shkodran","Mustafi",61,"29 Sep 15:00","Gameweek 7","Watford","WAT",TRUE,3,987653,"2018-09-29T14:00:00Z",NA,NA,FALSE,0,FALSE,FALSE,7,18,1
8,"Kolasinac","Sead","Kolasinac",61,"29 Sep 15:00","Gameweek 7","Watford","WAT",TRUE,3,987653,"2018-09-29T14:00:00Z",NA,NA,FALSE,0,FALSE,FALSE,7,18,1
9,"Chambers","Calum","Chambers",65,"29 Sep 15:00","Gameweek 7","Everton","EVE",FALSE,3,987656,"2018-09-29T14:00:00Z",NA,NA,FALSE,0,FALSE,FALSE,7,9,8
10,"Mavropanos","Konstantinos","Mavropanos",61,"29 Sep 15:00","Gameweek 7","Watford","WAT",TRUE,3,987653,"2018-09-29T14:00:00Z",NA,NA,FALSE,0,FALSE,FALSE,7,18,1
11,"Lichtsteiner","Stephan","Lichtsteiner",61,"29 Sep 15:00","Gameweek 7","Watford","WAT",TRUE,3,987653,"2018-09-29T14:00:00Z",NA,NA,FALSE,0,FALSE,FALSE,7,18,1
12,"Sokratis","Sokratis","Papastathopoulos",61,"29 Sep 15:00","Gameweek 7","Watford","WAT",TRUE,3,987653,"2018-09-29T14:00:00Z",NA,NA,FALSE,0,FALSE,FALSE,7,18,1
13,"Özil","Mesut","Özil",61,"29 Sep 15:00","Gameweek 7","Watford","WAT",TRUE,3,987653,"2018-09-29T14:00:00Z",NA,NA,FALSE,0,FALSE,FALSE,7,18,1
14,"Ramsey","Aaron","Ramsey",61,"29 Sep 15:00","Gameweek 7","Watford","WAT",TRUE,3,987653,"2018-09-29T14:00:00Z",NA,NA,FALSE,0,FALSE,FALSE,7,18,1
15,"Iwobi","Alex","Iwobi",61,"29 Sep 15:00","Gameweek 7","Watford","WAT",TRUE,3,987653,"2018-09-29T14:00:00Z",NA,NA,FALSE,0,FALSE,FALSE,7,18,1
16,"Elneny","Mohamed","Elneny",61,"29 Sep 15:00","Gameweek 7","Watford","WAT",TRUE,3,987653,"2018-09-29T14:00:00Z",NA,NA,FALSE,0,FALSE,FALSE,7,18,1
17,"Xhaka","Granit","Xhaka",61,"29 Sep 15:00","Gameweek 7","Watford","WAT",TRUE,3,987653,"2018-09-29T14:00:00Z",NA,NA,FALSE,0,FALSE,FALSE,7,18,1
18,"Mkhitaryan","Henrikh","Mkhitaryan",61,"29 Sep 15:00","Gameweek 7","Watford","WAT",TRUE,3,987653,"2018-09-29T14:00:00Z",NA,NA,FALSE,0,FALSE,FALSE,7,18,1
19,"Nelson","Reiss","Nelson",61,"29 Sep 15:00","Gameweek 7","Watford","WAT",TRUE,3,987653,"2018-09-29T14:00:00Z",NA,NA,FALSE,0,FALSE,FALSE,7,18,1
20,"Maitland-Niles","Ainsley","Maitland-Niles",61,"29 Sep 15:00","Gameweek 7","Watford","WAT",TRUE,3,987653,"2018-09-29T14:00:00Z",NA,NA,FALSE,0,FALSE,FALSE,7,18,1
21,"Welbeck","Danny","Welbeck",61,"29 Sep 15:00","Gameweek 7","Watford","WAT",TRUE,3,987653,"2018-09-29T14:00:00Z",NA,NA,FALSE,0,FALSE,FALSE,7,18,1
22,"Lacazette","Alexandre","Lacazette",61,"29 Sep 15:00","Gameweek 7","Watford","WAT",TRUE,3,987653,"2018-09-29T14:00:00Z",NA,NA,FALSE,0,FALSE,FALSE,7,18,1
