"id","name","code","short_name","unavailable","strength","position","played","win","loss","draw","points","form","link_url","strength_overall_home","strength_overall_away","strength_attack_home","strength_attack_away","strength_defence_home","strength_defence_away","team_division","is_home","day","event_day","month","id2","opponent","is_home1","day1","event_day1","month1","id1","opponent1"
1,"Arsenal",3,"ARS",FALSE,4,0,0,0,0,0,0,NA,"",1250,1320,1240,1290,1260,1320,1,TRUE,12,3,8,1,"MCI",FALSE,18,1,8,14,"CHE"
2,"Bournemouth",91,"BOU",FALSE,3,0,0,0,0,0,0,NA,"",1100,1130,1040,1070,1070,1120,1,TRUE,11,2,8,2,"CAR",FALSE,18,1,8,20,"WHU"
3,"Brighton",36,"BHA",FALSE,2,0,0,0,0,0,0,NA,"",1040,1100,1050,1080,1030,1100,1,FALSE,11,2,8,9,"WAT",TRUE,19,2,8,11,"MUN"
4,"Burnley",90,"BUR",FALSE,3,0,0,0,0,0,0,NA,"",1130,1130,1110,1150,1050,1090,1,FALSE,12,3,8,8,"SOU",TRUE,19,2,8,12,"WAT"
5,"Cardiff",97,"CAR",FALSE,2,0,0,0,0,0,0,NA,"",1020,1080,1030,1080,1000,1070,1,FALSE,11,2,8,2,"BOU",TRUE,18,1,8,13,"NEW"
6,"Chelsea",8,"CHE",FALSE,4,0,0,0,0,0,0,NA,"",1260,1290,1250,1290,1280,1300,1,FALSE,11,2,8,4,"HUD",TRUE,18,1,8,14,"ARS"
7,"Crystal Palace",31,"CRY",FALSE,3,0,0,0,0,0,0,NA,"",1090,1120,1070,1110,1080,1130,1,FALSE,11,2,8,3,"FUL",TRUE,20,3,8,15,"LIV"
8,"Everton",11,"EVE",FALSE,3,0,0,0,0,0,0,NA,"",1080,1150,1070,1160,1060,1160,1,FALSE,11,2,8,10,"WOL",TRUE,18,1,8,16,"SOU"
9,"Fulham",54,"FUL",FALSE,2,0,0,0,0,0,0,NA,"",1010,1070,1030,1050,1020,1080,1,TRUE,11,2,8,3,"CRY",FALSE,18,1,8,19,"TOT"
10,"Huddersfield",38,"HUD",FALSE,2,0,0,0,0,0,0,NA,"",1030,1060,1040,1050,1000,1040,1,TRUE,11,2,8,4,"CHE",FALSE,19,2,8,18,"MCI"
11,"Leicester",13,"LEI",FALSE,3,0,0,0,0,0,0,NA,"",1140,1180,1110,1200,1150,1180,1,FALSE,10,1,8,6,"MUN",TRUE,18,1,8,17,"WOL"
12,"Liverpool",14,"LIV",FALSE,5,0,0,0,0,0,0,NA,"",1330,1340,1270,1300,1300,1330,1,TRUE,12,3,8,5,"WHU",FALSE,20,3,8,15,"CRY"
13,"Man City",43,"MCI",FALSE,5,0,0,0,0,0,0,NA,"",1340,1350,1300,1310,1320,1340,1,FALSE,12,3,8,1,"ARS",TRUE,19,2,8,18,"HUD"
14,"Man Utd",1,"MUN",FALSE,4,0,0,0,0,0,0,NA,"",1310,1320,1290,1330,1270,1300,1,TRUE,10,1,8,6,"LEI",FALSE,19,2,8,11,"BHA"
15,"Newcastle",4,"NEW",FALSE,3,0,0,0,0,0,0,NA,"",1100,1150,1070,1200,1060,1100,1,TRUE,11,2,8,7,"TOT",FALSE,18,1,8,13,"CAR"
16,"Southampton",20,"SOU",FALSE,2,0,0,0,0,0,0,NA,"",1040,1090,1030,1080,1030,1080,1,TRUE,12,3,8,8,"BUR",FALSE,18,1,8,16,"EVE"
17,"Spurs",6,"TOT",FALSE,5,0,0,0,0,0,0,NA,"",1330,1330,1300,1300,1310,1330,1,FALSE,11,2,8,7,"NEW",TRUE,18,1,8,19,"FUL"
18,"Watford",57,"WAT",FALSE,2,0,0,0,0,0,0,NA,"",1030,1100,1030,1090,1050,1100,1,TRUE,11,2,8,9,"BHA",FALSE,19,2,8,12,"BUR"
19,"West Ham",21,"WHU",FALSE,3,0,0,0,0,0,0,NA,"",1090,1110,1050,1120,1140,1130,1,FALSE,12,3,8,5,"LIV",TRUE,18,1,8,20,"BOU"
20,"Wolves",39,"WOL",FALSE,2,0,0,0,0,0,0,NA,"",1040,1090,1040,1080,1030,1090,1,TRUE,11,2,8,10,"EVE",FALSE,18,1,8,17,"LEI"
