"id","photo","web_name","team_code","status","code","first_name","second_name","squad_number","news","now_cost","news_added","chance_of_playing_this_round","chance_of_playing_next_round","value_form","value_season","cost_change_start","cost_change_event","cost_change_start_fall","cost_change_event_fall","in_dreamteam","dreamteam_count","selected_by_percent","form","transfers_out","transfers_in","transfers_out_event","transfers_in_event","loans_in","loans_out","loaned_in","loaned_out","total_points","event_points","points_per_game","ep_this","ep_next","special","minutes","goals_scored","assists","clean_sheets","goals_conceded","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus","bps","influence","creativity","threat","ict_index","ea_index","element_type","team"
1,"11334.jpg","Cech",3,"a",11334,"Petr","Cech",1,"",50,NA,NA,NA,"0.5","2.0",0,0,0,0,FALSE,0,"2.2","2.5",33522,50123,6891,5182,0,0,0,0,10,1,"2.5","3.5","3.0",FALSE,360,0,0,0,8,0,0,0,0,0,19,0,75,"130.2","0.0","0.0","13.0",0,"GKP","ARS"
2,"80201.jpg","Leno",3,"a",80201,"Bernd","Leno",19,"",48,NA,NA,NA,"0.0","0.0",-2,-1,2,1,FALSE,0,"1.4","0.0",52155,3892,4992,432,0,0,0,0,0,0,"0.0","1.0","0.5",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"GKP","ARS"
3,"51507.jpg","Koscielny",3,"i",51507,"Laurent","Koscielny",6,"Achilles injury - Expected back 11 Nov",55,"2018-07-05T14:31:07Z",0,0,"0.0","0.0",0,0,0,0,FALSE,0,"0.1","0.0",3084,284,247,34,0,0,0,0,0,0,"0.0","0.0","0.0",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"DEF","ARS"
4,"98745.jpg","Bellerín",3,"a",98745,"Héctor","Bellerín",2,"",55,NA,NA,NA,"0.3","1.3",0,0,0,0,FALSE,0,"11.4","1.8",271889,99299,47653,6797,0,0,0,0,7,0,"1.8","2.8","2.3",FALSE,360,0,1,0,8,0,0,0,1,0,0,0,63,"77.8","55.9","42.0","17.6",0,"DEF","ARS"
5,"38411.jpg","Monreal",3,"a",38411,"Nacho","Monreal",18,"",55,"2018-08-05T10:31:10Z",100,100,"0.5","2.0",0,0,0,0,FALSE,1,"1.8","2.8",34076,75759,9008,7062,0,0,0,0,11,0,"3.7","3.8","3.3",FALSE,270,1,0,0,6,0,0,0,1,0,0,2,50,"78.4","24.9","89.0","19.2",0,"DEF","ARS"
6,"156074.jpg","Holding",3,"a",156074,"Rob","Holding",16,"",44,NA,NA,NA,"0.0","0.0",-1,0,1,0,FALSE,0,"0.5","0.0",13903,2419,1461,202,0,0,0,0,0,0,"0.0","1.0","0.5",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"DEF","ARS"
7,"69140.jpg","Mustafi",3,"a",69140,"Shkodran","Mustafi",20,"",54,NA,NA,NA,"0.5","2.0",-1,0,1,0,FALSE,0,"1.2","2.8",26204,9574,2150,3698,0,0,0,0,11,8,"2.8","3.8","3.3",FALSE,360,1,0,0,8,0,0,0,1,0,0,1,74,"148.2","26.0","80.0","25.5",0,"DEF","ARS"
8,"111457.jpg","Kolasinac",3,"i",111457,"Sead","Kolasinac",31,"Knee injury - Expected back 07 Oct",49,"2018-08-02T07:01:09Z",0,0,"0.0","0.0",-1,0,1,0,FALSE,0,"0.3","0.0",17876,400,978,24,0,0,0,0,0,0,"0.0","0.0","0.0",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"DEF","ARS"
10,"233963.jpg","Mavropanos",3,"a",233963,"Konstantinos","Mavropanos",27,"",48,NA,NA,NA,"0.0","0.0",-2,-1,2,1,FALSE,0,"0.1","0.0",5761,755,522,74,0,0,0,0,0,0,"0.0","1.0","0.5",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"DEF","ARS"
11,"27335.jpg","Lichtsteiner",3,"a",27335,"Stephan","Lichtsteiner",12,"",48,NA,NA,NA,"0.1","0.2",-2,0,2,0,FALSE,0,"1.3","0.3",66117,8119,6563,367,0,0,0,0,1,0,"1.0","1.3","0.8",FALSE,55,0,0,0,1,0,0,0,0,0,0,0,0,"1.0","5.8","2.0","0.9",0,"DEF","ARS"
12,"39476.jpg","Sokratis",3,"a",39476,"Sokratis","Papastathopoulos",5,"",54,NA,NA,NA,"0.1","0.6",-1,0,1,0,FALSE,0,"1.7","0.8",56794,7697,7111,409,0,0,0,0,3,1,"0.8","1.8","1.3",FALSE,360,0,0,0,8,0,0,0,2,0,0,0,48,"67.2","11.5","2.0","8.1",0,"DEF","ARS"
13,"37605.jpg","Özil",3,"a",37605,"Mesut","Özil",10,"",83,NA,NA,NA,"0.2","0.7",-2,0,2,0,FALSE,0,"2.8","1.5",150780,24739,11149,2233,0,0,0,0,6,2,"2.0","2.5","2.0",FALSE,240,0,0,0,6,0,0,0,0,0,0,0,21,"19.2","48.8","24.0","9.2",0,"MID","ARS"
