"id","photo","web_name","team_code","status","code","first_name","second_name","squad_number","news","now_cost","news_added","chance_of_playing_this_round","chance_of_playing_next_round","value_form","value_season","cost_change_start","cost_change_event","cost_change_start_fall","cost_change_event_fall","in_dreamteam","dreamteam_count","selected_by_percent","form","transfers_out","transfers_in","transfers_out_event","transfers_in_event","loans_in","loans_out","loaned_in","loaned_out","total_points","event_points","points_per_game","ep_this","ep_next","special","minutes","goals_scored","assists","clean_sheets","goals_conceded","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus","bps","influence","creativity","threat","ict_index","ea_index","element_type","team"
1,"11334.jpg","Cech",3,"a",11334,"Petr","Cech",1,"",50,NA,NA,NA,"0.4","2.4",0,0,0,0,FALSE,0,"2.2","2.0",45810,60105,7045,6327,0,0,0,0,12,2,"2.4","2.5","2.5",FALSE,450,0,0,0,9,0,0,0,0,0,20,0,88,"144.4","0.0","0.0","14.4",0,"GKP","ARS"
2,"80201.jpg","Leno",3,"a",80201,"Bernd","Leno",19,"",48,NA,NA,NA,"0.0","0.0",-2,0,2,0,FALSE,0,"1.3","0.0",59516,4543,4514,329,0,0,0,0,0,0,"0.0","0.5","0.5",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"GKP","ARS"
3,"51507.jpg","Koscielny",3,"i",51507,"Laurent","Koscielny",6,"Achilles injury - Expected back 11 Nov",54,"2018-07-05T14:31:07Z",0,0,"0.0","0.0",-1,-1,1,1,FALSE,0,"0.1","0.0",3433,356,192,42,0,0,0,0,0,0,"0.0","0.0","0.0",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"DEF","ARS"
4,"98745.jpg","Bellerín",3,"a",98745,"Héctor","Bellerín",2,"",54,NA,NA,NA,"0.4","1.7",-1,0,1,0,FALSE,0,"10.4","2.3",346820,119435,40482,9951,0,0,0,0,9,2,"1.8","2.8","2.8",FALSE,450,0,1,0,9,0,0,0,1,0,0,0,75,"93.0","66.7","50.0","21.0",0,"DEF","ARS"
5,"38411.jpg","Monreal",3,"a",38411,"Nacho","Monreal",18,"",55,"2018-08-05T10:31:10Z",100,100,"0.7","2.4",0,0,0,0,FALSE,1,"2.0","4.0",50370,96796,8970,11296,0,0,0,0,13,2,"3.3","4.5","4.5",FALSE,360,1,0,0,7,0,0,0,1,0,0,2,62,"96.4","30.1","122.0","24.8",0,"DEF","ARS"
6,"156074.jpg","Holding",3,"a",156074,"Rob","Holding",16,"",44,NA,NA,NA,"0.0","0.0",-1,0,1,0,FALSE,0,"0.5","0.0",15953,2699,1231,184,0,0,0,0,0,0,"0.0","0.5","0.5",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"DEF","ARS"
7,"69140.jpg","Mustafi",3,"a",69140,"Shkodran","Mustafi",20,"",54,NA,NA,NA,"0.7","2.4",-1,0,1,0,FALSE,0,"1.3","4.0",31584,16303,3417,3265,0,0,0,0,13,2,"2.6","4.5","4.5",FALSE,450,1,0,0,9,0,0,0,1,0,0,1,91,"168.8","30.0","80.0","28.0",0,"DEF","ARS"
8,"111457.jpg","Kolasinac",3,"i",111457,"Sead","Kolasinac",31,"Knee injury - Expected back 22 Oct",49,"2018-08-02T07:01:09Z",0,0,"0.0","0.0",-1,0,1,0,FALSE,0,"0.3","0.0",19109,475,664,44,0,0,0,0,0,0,"0.0","0.0","0.0",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"DEF","ARS"
10,"233963.jpg","Mavropanos",3,"a",233963,"Konstantinos","Mavropanos",27,"",48,NA,NA,NA,"0.0","0.0",-2,0,2,0,FALSE,0,"0.1","0.0",6587,859,476,68,0,0,0,0,0,0,"0.0","0.5","0.5",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"DEF","ARS"
11,"27335.jpg","Lichtsteiner",3,"a",27335,"Stephan","Lichtsteiner",12,"",47,NA,NA,NA,"0.0","0.2",-3,-1,3,1,FALSE,0,"1.2","0.0",77059,8704,6038,402,0,0,0,0,1,0,"1.0","0.5","0.5",FALSE,55,0,0,0,1,0,0,0,0,0,0,0,0,"1.0","5.8","2.0","0.9",0,"DEF","ARS"
12,"39476.jpg","Sokratis",3,"a",39476,"Sokratis","Papastathopoulos",5,"",53,NA,NA,NA,"0.2","0.9",-2,0,2,0,FALSE,0,"1.6","1.3",66042,9791,4820,1413,0,0,0,0,5,2,"1.0","1.8","1.8",FALSE,450,0,0,0,9,0,0,0,2,0,0,0,61,"86.8","11.9","6.0","10.5",0,"DEF","ARS"
13,"37605.jpg","Özil",3,"a",37605,"Mesut","Özil",10,"",83,NA,NA,NA,"0.5","1.9",-2,0,2,0,FALSE,0,"3.0","4.0",166273,47292,6518,19232,0,0,0,0,16,10,"4.0","4.5","4.5",FALSE,330,1,0,0,7,0,0,0,0,0,0,3,56,"63.2","96.1","47.0","20.6",0,"MID","ARS"
14,"41792.jpg","Ramsey",3,"a",41792,"Aaron","Ramsey",8,"",74,"2018-08-02T07:01:09Z",100,100,"0.3","1.2",-1,0,1,0,FALSE,0,"1.2","2.3",44164,33018,6767,5775,0,0,0,0,9,3,"1.8","2.8","2.8",FALSE,334,0,0,1,5,0,0,0,0,0,0,0,51,"68.2","131.4","118.0","31.8",0,"MID","ARS"
15,"153133.jpg","Iwobi",3,"a",153133,"Alex","Iwobi",17,"",55,"2018-09-03T09:01:13Z",100,100,"0.2","2.0",0,0,0,0,FALSE,0,"1.2","1.3",78040,83288,16823,1845,0,0,0,0,11,0,"5.5","1.8","1.8",FALSE,119,1,1,0,3,0,0,0,0,0,0,0,46,"59.4","38.7","29.0","12.7",0,"MID","ARS"
16,"153256.jpg","Elneny",3,"a",153256,"Mohamed","Elneny",4,"",44,NA,NA,NA,"0.0","0.0",-1,0,1,0,FALSE,0,"2.2","0.0",76548,26782,8293,1767,0,0,0,0,0,0,"0.0","0.5","0.5",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"MID","ARS"
17,"84450.jpg","Xhaka",3,"a",84450,"Granit","Xhaka",34,"",53,NA,NA,NA,"0.9","3.0",-2,0,2,0,FALSE,0,"3.1","5.0",122620,45157,8307,29877,0,0,0,0,16,9,"3.2","5.5","5.5",FALSE,384,1,1,0,8,0,0,0,3,0,0,2,79,"113.0","94.7","23.0","23.1",0,"MID","ARS"
18,"57249.jpg","Mkhitaryan",3,"d",57249,"Henrikh","Mkhitaryan",7,"Ankle injury - 75% chance of playing",71,"2018-09-21T11:31:13Z",NA,75,"0.2","2.5",1,-1,-1,1,FALSE,1,"10.9","1.3",831301,706048,359490,7043,0,0,0,0,18,1,"3.6","1.8","1.4",FALSE,292,1,1,0,7,0,0,0,0,0,0,2,59,"85.8","91.8","126.0","30.3",0,"MID","ARS"
