"player_id","web_name","first_name","second_name","id","kickoff_time","kickoff_time_formatted","team_h_score","team_a_score","was_home","round","total_points","value","transfers_balance","selected","transfers_in","transfers_out","loaned_in","loaned_out","minutes","goals_scored","assists","clean_sheets","goals_conceded","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus","bps","influence","creativity","threat","ict_index","ea_index","open_play_crosses","big_chances_created","clearances_blocks_interceptions","recoveries","key_passes","tackles","winning_goals","attempted_passes","completed_passes","penalties_conceded","big_chances_missed","errors_leading_to_goal","errors_leading_to_goal_attempt","tackled","offside","target_missed","fouls","dribbles","element","fixture","opponent_team"
1,"Cech","Petr","Cech",1584,"2018-09-02T12:30:00Z","02 Sep 13:30",2,3,FALSE,4,1,50,9582,123566,19332,9750,0,0,90,0,0,0,2,0,0,0,0,0,1,0,8,"2.4","0.0","0.0","0.2",0,0,0,0,8,0,0,0,38,24,0,0,0,2,0,0,0,0,0,1,33,5
2,"Leno","Bernd","Leno",1585,"2018-09-02T12:30:00Z","02 Sep 13:30",2,3,FALSE,4,0,49,-11562,82858,500,12062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,33,5
3,"Koscielny","Laurent","Koscielny",1586,"2018-09-02T12:30:00Z","02 Sep 13:30",2,3,FALSE,4,0,55,-508,6016,56,564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,33,5
4,"Bellerín","Héctor","Bellerín",1587,"2018-09-02T12:30:00Z","02 Sep 13:30",2,3,FALSE,4,0,55,798,671467,43942,43144,0,0,90,0,0,0,2,0,0,0,1,0,0,0,5,"5.0","5.1","9.0","1.9",0,0,0,2,2,0,0,0,46,40,0,0,0,0,0,0,0,3,0,4,33,5
5,"Monreal","Nacho","Monreal",1588,"2018-09-02T12:30:00Z","02 Sep 13:30",2,3,FALSE,4,0,55,45778,105115,55182,9404,0,0,90,0,0,0,2,0,0,0,1,0,0,0,9,"18.8","5.8","30.0","5.5",0,0,0,6,5,0,1,0,53,46,0,1,0,0,0,0,0,2,1,5,33,5
6,"Holding","Rob","Holding",1589,"2018-09-02T12:30:00Z","02 Sep 13:30",2,3,FALSE,4,0,44,-2865,29855,377,3242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,33,5
7,"Mustafi","Shkodran","Mustafi",1590,"2018-09-02T12:30:00Z","02 Sep 13:30",2,3,FALSE,4,8,54,-3917,62683,2091,6008,0,0,90,1,0,0,2,0,0,0,0,0,0,1,27,"54.0","14.8","42.0","11.1",0,1,0,7,8,1,0,0,67,54,0,0,0,0,0,0,1,1,0,7,33,5
8,"Kolasinac","Sead","Kolasinac",1591,"2018-09-02T12:30:00Z","02 Sep 13:30",2,3,FALSE,4,0,49,-2366,17901,62,2428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,33,5
9,"Chambers","Calum","Chambers",1592,"2018-09-01T14:00:00Z","01 Sep 15:00",2,2,FALSE,4,1,45,-8193,79929,1312,9505,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,"2.2","0.0","0.0","0.2",0,0,0,3,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,9,31,3
10,"Mavropanos","Konstantinos","Mavropanos",1593,"2018-09-02T12:30:00Z","02 Sep 13:30",2,3,FALSE,4,0,49,-1247,8291,101,1348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,33,5
