"player_id","web_name","first_name","second_name","id","kickoff_time","kickoff_time_formatted","team_h_score","team_a_score","was_home","round","total_points","value","transfers_balance","selected","transfers_in","transfers_out","loaned_in","loaned_out","minutes","goals_scored","assists","clean_sheets","goals_conceded","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus","bps","influence","creativity","threat","ict_index","ea_index","open_play_crosses","big_chances_created","clearances_blocks_interceptions","recoveries","key_passes","tackles","winning_goals","attempted_passes","completed_passes","penalties_conceded","big_chances_missed","errors_leading_to_goal","errors_leading_to_goal_attempt","tackled","offside","target_missed","fouls","dribbles","element","fixture","opponent_team"
1,"Cech","Petr","Cech",2658,"2018-09-23T15:00:00Z","23 Sep 16:00",2,0,TRUE,6,11,50,-797,124787,6593,7390,0,0,90,0,0,1,0,0,0,0,0,0,6,3,36,"43.4","0.0","0.0","4.3",0,0,0,2,9,0,1,0,33,23,0,0,0,0,0,0,0,0,0,1,51,8
2,"Leno","Bernd","Leno",2659,"2018-09-23T15:00:00Z","23 Sep 16:00",2,0,TRUE,6,0,48,-4376,74131,353,4729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,51,8
3,"Koscielny","Laurent","Koscielny",2660,"2018-09-23T15:00:00Z","23 Sep 16:00",2,0,TRUE,6,0,54,-155,5935,42,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,51,8
4,"Bellerín","Héctor","Bellerín",2661,"2018-09-23T15:00:00Z","23 Sep 16:00",2,0,TRUE,6,6,54,-32044,581867,10657,42701,0,0,90,0,0,1,0,0,0,0,0,0,0,0,28,"14.0","6.8","27.0","4.8",0,1,0,4,1,0,1,0,36,35,0,0,0,0,1,0,0,1,1,4,51,8
5,"Monreal","Nacho","Monreal",2662,"2018-09-23T15:00:00Z","23 Sep 16:00",2,0,TRUE,6,6,55,2757,110773,12157,9400,0,0,90,0,0,1,0,0,0,0,0,0,0,0,20,"15.4","15.2","23.0","5.4",0,0,0,2,5,1,0,0,51,45,0,0,0,0,3,0,0,2,0,5,51,8
6,"Holding","Rob","Holding",2663,"2018-09-23T15:00:00Z","23 Sep 16:00",2,0,TRUE,6,1,44,-1096,27951,194,1290,0,0,51,0,0,0,0,0,0,0,0,0,0,0,9,"12.0","0.5","0.0","1.3",0,0,0,6,4,0,0,0,36,31,0,0,0,0,1,0,0,1,0,6,51,8
7,"Mustafi","Shkodran","Mustafi",2664,"2018-09-23T15:00:00Z","23 Sep 16:00",2,0,TRUE,6,6,54,-141,71115,3420,3561,0,0,90,0,0,1,0,0,0,0,0,0,0,0,26,"17.6","0.5","0.0","1.8",0,0,0,7,4,0,1,0,68,59,0,0,0,0,0,0,0,2,0,7,51,8
8,"Kolasinac","Sead","Kolasinac",2665,"2018-09-23T15:00:00Z","23 Sep 16:00",2,0,TRUE,6,0,49,-647,16113,45,692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,51,8
9,"Chambers","Calum","Chambers",2666,"2018-09-22T11:30:00Z","22 Sep 12:30",1,1,TRUE,6,2,44,-5800,65890,504,6304,0,0,90,0,0,0,1,0,0,0,0,0,0,0,10,"18.4","0.2","18.0","3.7",0,0,0,10,6,0,0,0,44,33,0,0,0,0,1,0,0,4,0,9,56,18
10,"Mavropanos","Konstantinos","Mavropanos",2667,"2018-09-23T15:00:00Z","23 Sep 16:00",2,0,TRUE,6,0,48,-436,7652,70,506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,51,8
